run	input.fasta	num.sequences	num.haplotypes	Gbps	A.fraction	C.fraction	G.fraction	T.fraction	N.fraction	input.paf	num.alignments	num.matches	s	l	p	n	k	B	time.seconds	memory.Gbytes	disk.Gbytes	gzipped.gfa.disk.size.Gbytes	graph.length.Gbps	num.nodes	num.edges	num.paths	num.components	group	seg.len	min.mapping.len	map.ident	map.n	seqwish.k	seqwish.B
hpylori250.s10k.l30k.p95.n250.k127.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p95.n250	176773	1.14529e+10	10k	30k	95	250	127	10M	192	12.5469	5.0692	.1826	0.0938305	1360161	1952401	292	33	hpylori250	s10k	l30k	p95	n250	k127	B10M
hpylori250.s10k.l30k.p95.n250.k79.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p95.n250	176773	1.14529e+10	10k	30k	95	250	79	10M	311	21.9458	8.0017	.3056	0.0507341	1762767	2606871	292	33	hpylori250	s10k	l30k	p95	n250	k79	B10M
hpylori250.s10k.l30k.p95.n250.k49.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p95.n250	176773	1.14529e+10	10k	30k	95	250	49	10M	475	33.7270	11.9739	.3876	0.0302351	1934607	2894839	292	33	hpylori250	s10k	l30k	p95	n250	k49	B10M
hpylori250.s10k.l30k.p95.n250.k29.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p95.n250	176773	1.14529e+10	10k	30k	95	250	29	10M	616	48.5736	15.9713	.4326	0.0211301	2034229	3058813	292	33	hpylori250	s10k	l30k	p95	n250	k29	B10M
hpylori250.s10k.l30k.p95.n250.k11.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p95.n250	176773	1.14529e+10	10k	30k	95	250	11	10M	875	77.8216	30.4113	.4677	0.0162414	2167098	3296321	292	33	hpylori250	s10k	l30k	p95	n250	k11	B10M
hpylori250.s10k.l30k.p95.n250.k0.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p95.n250	176773	1.14529e+10	10k	30k	95	250	0	10M	1322	150.6252	43.9617	.4531	0.0139998	2054930	3339947	292	33	hpylori250	s10k	l30k	p95	n250	k0	B10M
hpylori250.s10k.l30k.p90.n250.k311.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	311	10M	122	3.5006	1.1162	.0625	0.197091	294010	397043	292	29	hpylori250	s10k	l30k	p90	n250	k311	B10M
hpylori250.s10k.l30k.p90.n250.k229.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	229	10M	136	5.3814	1.9141	.0781	0.160681	638927	874641	292	26	hpylori250	s10k	l30k	p90	n250	k229	B10M
hpylori250.s10k.l30k.p90.n250.k179.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	179	10M	171	8.9046	2.6655	.1201	0.122703	1025254	1429720	292	18	hpylori250	s10k	l30k	p90	n250	k179	B10M
hpylori250.s10k.l30k.p90.n250.k127.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	127	10M	272	16.2860	7.0113	.2216	0.073303	1492909	2143224	292	14	hpylori250	s10k	l30k	p90	n250	k127	B10M
hpylori250.s10k.l30k.p90.n250.k79.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	79	10M	464	36.9005	15.9749	.3583	0.0321027	1766845	2595103	292	9	hpylori250	s10k	l30k	p90	n250	k79	B10M
hpylori250.s10k.l30k.p90.n250.k49.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	49	10M	784	75.4430	20.2147	.4375	0.0156733	1813645	2665974	292	9	hpylori250	s10k	l30k	p90	n250	k49	B10M
hpylori250.s10k.l30k.p90.n250.k29.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	29	10M	1231	150.6374	38.2038	.4775	0.00961712	1802464	2641413	292	9	hpylori250	s10k	l30k	p90	n250	k29	B10M
hpylori250.s10k.l30k.p90.n250.k11.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	11	10M	2297	302.5587	64.2091	.5214	0.00670617	1748186	2601347	292	9	hpylori250	s10k	l30k	p90	n250	k11	B10M
hpylori250.s10k.l30k.p90.n250.k0.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s10k.l30k.p90.n250	231934	3.32119e+10	10k	30k	90	250	0	10M	5701	332.6485	118.2016	.3720	0.00426122	1038273	1740427	292	9	hpylori250	s10k	l30k	p90	n250	k0	B10M
hpylori250.s5k.l15k.p98.n250.k311.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	311	10M	98	2.2992	0.9379	.0634	0.231254	79214	107399	292	83	hpylori250	s5k	l15k	p98	n250	k311	B10M
hpylori250.s5k.l15k.p98.n250.k229.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	229	10M	133	2.3626	0.9427	.0625	0.228836	102589	139687	292	83	hpylori250	s5k	l15k	p98	n250	k229	B10M
hpylori250.s5k.l15k.p98.n250.k179.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	179	10M	134	2.6834	1.1467	.0634	0.226901	126230	172627	292	83	hpylori250	s5k	l15k	p98	n250	k179	B10M
hpylori250.s5k.l15k.p98.n250.k127.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	127	10M	111	2.6051	0.9123	.0634	0.224365	166451	229039	292	83	hpylori250	s5k	l15k	p98	n250	k127	B10M
hpylori250.s5k.l15k.p98.n250.k79.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	79	10M	114	2.7565	0.9851	.0644	0.221468	233203	323320	292	83	hpylori250	s5k	l15k	p98	n250	k79	B10M
hpylori250.s5k.l15k.p98.n250.k49.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	49	10M	95	2.8215	1.0318	.0664	0.219468	306027	426561	292	83	hpylori250	s5k	l15k	p98	n250	k49	B10M
hpylori250.s5k.l15k.p98.n250.k29.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	29	10M	103	2.9114	1.0723	.0673	0.218197	383354	536233	292	83	hpylori250	s5k	l15k	p98	n250	k29	B10M
hpylori250.s5k.l15k.p98.n250.k11.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	11	10M	92	3.0025	1.3825	.0703	0.217265	501317	703597	292	83	hpylori250	s5k	l15k	p98	n250	k11	B10M
hpylori250.s5k.l15k.p98.n250.k0.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p98.n250	4448	1080528266	5k	15k	98	250	0	10M	84	3.1712	1.4111	.0732	0.216984	647772	914266	292	83	hpylori250	s5k	l15k	p98	n250	k0	B10M
hpylori250.s5k.l15k.p95.n250.k311.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	311	10M	94	3.2540	1.0476	.0625	0.200478	269710	364943	292	34	hpylori250	s5k	l15k	p95	n250	k311	B10M
hpylori250.s5k.l15k.p95.n250.k229.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	229	10M	103	5.0303	1.3130	.0751	0.167926	575557	789477	292	33	hpylori250	s5k	l15k	p95	n250	k229	B10M
hpylori250.s5k.l15k.p95.n250.k179.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	179	10M	133	7.6665	2.4161	.1093	0.133806	924740	1291614	292	33	hpylori250	s5k	l15k	p95	n250	k179	B10M
hpylori250.s5k.l15k.p95.n250.k127.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	127	10M	201	13.3473	5.0668	.1953	0.0878638	1383554	1989397	292	33	hpylori250	s5k	l15k	p95	n250	k127	B10M
hpylori250.s5k.l15k.p95.n250.k79.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	79	10M	338	23.7210	10.0054	.3193	0.046097	1737263	2566677	292	33	hpylori250	s5k	l15k	p95	n250	k79	B10M
hpylori250.s5k.l15k.p95.n250.k49.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	49	10M	497	37.3123	15.9738	.3964	0.0271995	1879174	2798087	292	33	hpylori250	s5k	l15k	p95	n250	k49	B10M
hpylori250.s5k.l15k.p95.n250.k29.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	29	10M	666	54.2582	19.9788	.4375	0.0189842	1963108	2931071	292	33	hpylori250	s5k	l15k	p95	n250	k29	B10M
hpylori250.s5k.l15k.p95.n250.k11.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	11	10M	956	82.5617	31.9606	.4707	0.0145526	2090714	3152345	292	33	hpylori250	s5k	l15k	p95	n250	k11	B10M
hpylori250.s5k.l15k.p95.n250.k0.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p95.n250	423496	1.33745e+10	5k	15k	95	250	0	10M	1551	154.3976	43.9596	.4580	0.0124464	1974348	3203262	292	33	hpylori250	s5k	l15k	p95	n250	k0	B10M
hpylori250.s5k.l15k.p90.n250.k311.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	311	10M	124	3.4655	1.0847	.0625	0.196352	298213	402646	292	25	hpylori250	s5k	l15k	p90	n250	k311	B10M
hpylori250.s5k.l15k.p90.n250.k229.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	229	10M	142	5.6629	1.9137	.0791	0.159437	648053	886992	292	19	hpylori250	s5k	l15k	p90	n250	k229	B10M
hpylori250.s5k.l15k.p90.n250.k179.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	179	10M	179	8.9749	2.6658	.1210	0.121032	1038229	1447648	292	11	hpylori250	s5k	l15k	p90	n250	k179	B10M
hpylori250.s5k.l15k.p90.n250.k127.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	127	10M	274	16.6595	7.0084	.2255	0.0713159	1504567	2160291	292	8	hpylori250	s5k	l15k	p90	n250	k127	B10M
hpylori250.s5k.l15k.p90.n250.k79.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	79	10M	476	37.0321	15.9746	.3632	0.0303221	1768563	2597039	292	5	hpylori250	s5k	l15k	p90	n250	k79	B10M
hpylori250.s5k.l15k.p90.n250.k49.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	49	10M	790	75.7514	20.2070	.4414	0.01421	1806620	2653085	292	5	hpylori250	s5k	l15k	p90	n250	k49	B10M
hpylori250.s5k.l15k.p90.n250.k29.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	29	10M	1296	151.3628	38.2073	.4804	0.00835125	1789301	2617960	292	5	hpylori250	s5k	l15k	p90	n250	k29	B10M
hpylori250.s5k.l15k.p90.n250.k11.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	11	10M	2252	275.0208	64.2745	.5185	0.00563216	1737071	2570239	292	5	hpylori250	s5k	l15k	p90	n250	k11	B10M
hpylori250.s5k.l15k.p90.n250.k0.B10M	hpylori250	292	250	0.407782	0.305004	0.194726	0.194278	0.305989	8.6566e-07	hpylori250.s5k.l15k.p90.n250	386320	3.39018e+10	5k	15k	90	250	0	10M	5087	336.8102	118.2024	.3906	0.00342772	1064066	1749130	292	5	hpylori250	s5k	l15k	p90	n250	k0	B10M
zmays41.s20k.l60k.p98.n41.k311.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	311	50M	28311	184.0483	204.4242	7.5390	21.6919	56228019	77643725	46289	6433	zmays41	s20k	l60k	p98	n41	k311	B50M
zmays41.s20k.l60k.p98.n41.k229.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	229	50M	23535	186.7124	210.1042	7.6533	21.0444	61692867	85367376	46289	6413	zmays41	s20k	l60k	p98	n41	k229	B50M
zmays41.s20k.l60k.p98.n41.k179.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	179	50M	28889	188.7610	224.8481	7.7636	20.6529	65995510	91476146	46289	6409	zmays41	s20k	l60k	p98	n41	k179	B50M
zmays41.s20k.l60k.p98.n41.k127.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	127	50M	24061	191.2188	241.5891	7.9433	20.2395	72011335	100052660	46289	6409	zmays41	s20k	l60k	p98	n41	k127	B50M
zmays41.s20k.l60k.p98.n41.k79.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	79	50M	24185	193.9716	250.3840	8.2187	19.847	80468155	112164286	46289	6409	zmays41	s20k	l60k	p98	n41	k79	B50M
zmays41.s20k.l60k.p98.n41.k49.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	49	50M	23489	204.6593	267.2513	8.5273	19.5861	89503549	125128524	46289	6409	zmays41	s20k	l60k	p98	n41	k49	B50M
zmays41.s20k.l60k.p98.n41.k29.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	29	50M	24601	215.3359	275.8025	8.8906	19.4005	100088946	140345801	46289	6409	zmays41	s20k	l60k	p98	n41	k29	B50M
zmays41.s20k.l60k.p98.n41.k11.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	11	50M	30798	231.7103	302.5017	9.5263	19.2411	118131001	166543643	46289	6409	zmays41	s20k	l60k	p98	n41	k11	B50M
zmays41.s20k.l60k.p98.n41.k0.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p98.n41	1909867	3.60237e+11	20k	60k	98	41	0	50M	28307	293.8616	322.7626	10.0078	19.192	136459361	194503890	46289	6408	zmays41	s20k	l60k	p98	n41	k0	B50M
zmays41.s20k.l60k.p95.n41.k311.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p95.n41	2325487	5.49747e+11	20k	60k	95	41	311	50M	28745	206.5612	243.0176	7.3291	17.2101	63342901	87144926	46289	1771	zmays41	s20k	l60k	p95	n41	k311	B50M
zmays41.s20k.l60k.p95.n41.k229.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p95.n41	2325487	5.49747e+11	20k	60k	95	41	229	50M	28154	220.5177	258.5798	7.7822	16.3256	70794184	97684795	46289	1338	zmays41	s20k	l60k	p95	n41	k229	B50M
zmays41.s20k.l60k.p95.n41.k179.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p95.n41	2325487	5.49747e+11	20k	60k	95	41	179	50M	29422	231.1500	281.7559	8.2568	15.7402	77128104	106711061	46289	1128	zmays41	s20k	l60k	p95	n41	k179	B50M
zmays41.s20k.l60k.p95.n41.k127.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p95.n41	2325487	5.49747e+11	20k	60k	95	41	127	50M	25088	264.9900	319.2340	9.0253	15.0673	86576009	120293227	46289	978	zmays41	s20k	l60k	p95	n41	k127	B50M
zmays41.s20k.l60k.p95.n41.k79.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p95.n41	2325487	5.49747e+11	20k	60k	95	41	79	50M	28503	333.8979	365.1949	10.0869	14.3702	100710487	140814195	46289	927	zmays41	s20k	l60k	p95	n41	k79	B50M
zmays41.s20k.l60k.p95.n41.k49.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s20k.l60k.p95.n41	2325487	5.49747e+11	20k	60k	95	41	49	50M	31043	351.1235	402.8716	11.0898	13.8838	116180604	163410322	46289	925	zmays41	s20k	l60k	p95	n41	k49	B50M
zmays41.s50k.l150k.p98.n41.k311.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	311	50M	24093	176.4994	186.6971	8.4873	26.5242	50557313	70180055	46289	8002	zmays41	s50k	l150k	p98	n41	k311	B50M
zmays41.s50k.l150k.p98.n41.k229.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	229	50M	23791	178.5835	204.6293	8.5830	25.9256	55529426	77244868	46289	7979	zmays41	s50k	l150k	p98	n41	k229	B50M
zmays41.s50k.l150k.p98.n41.k179.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	179	50M	24418	179.9107	213.9001	8.6787	25.5675	59417306	82791684	46289	7975	zmays41	s50k	l150k	p98	n41	k179	B50M
zmays41.s50k.l150k.p98.n41.k127.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	127	50M	29959	181.7229	217.2404	8.8369	25.1936	64818466	90523633	46289	7975	zmays41	s50k	l150k	p98	n41	k127	B50M
zmays41.s50k.l150k.p98.n41.k79.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	79	50M	23501	183.5738	233.1740	9.0722	24.8412	72419781	101436964	46289	7975	zmays41	s50k	l150k	p98	n41	k79	B50M
zmays41.s50k.l150k.p98.n41.k49.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	49	50M	23794	188.1832	244.8203	9.3310	24.6056	80672582	113282685	46289	7975	zmays41	s50k	l150k	p98	n41	k49	B50M
zmays41.s50k.l150k.p98.n41.k29.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	29	50M	25186	194.5477	257.1209	9.6386	24.4353	90575021	127494629	46289	7975	zmays41	s50k	l150k	p98	n41	k29	B50M
zmays41.s50k.l150k.p98.n41.k11.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	11	50M	24073	204.9908	273.9275	10.1923	24.285	108089131	152833228	46289	7975	zmays41	s50k	l150k	p98	n41	k11	B50M
zmays41.s50k.l150k.p98.n41.k0.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p98.n41	650657	3.09619e+11	50k	150k	98	41	0	50M	32099	221.0681	290.3369	10.7343	24.2371	126633307	180855952	46289	7974	zmays41	s50k	l150k	p98	n41	k0	B50M
zmays41.s50k.l150k.p95.n41.k311.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p95.n41	1225654	5.15987e+11	50k	150k	95	41	311	50M	22340	193.1048	230.2361	7.4609	19.0987	61831138	85335626	46289	2467	zmays41	s50k	l150k	p95	n41	k311	B50M
zmays41.s50k.l150k.p95.n41.k229.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p95.n41	1225654	5.15987e+11	50k	150k	95	41	229	50M	28667	197.8789	245.7070	7.7187	18.184	69594554	96313149	46289	1803	zmays41	s50k	l150k	p95	n41	k229	B50M
zmays41.s50k.l150k.p95.n41.k179.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p95.n41	1225654	5.15987e+11	50k	150k	95	41	179	50M	24939	206.6780	266.0776	7.9892	17.5744	76319443	105867761	46289	1504	zmays41	s50k	l150k	p95	n41	k179	B50M
zmays41.s50k.l150k.p95.n41.k127.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p95.n41	1225654	5.15987e+11	50k	150k	95	41	127	50M	24487	227.5379	287.3300	8.4560	16.8686	86545309	120485833	46289	1323	zmays41	s50k	l150k	p95	n41	k127	B50M
zmays41.s50k.l150k.p95.n41.k79.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p95.n41	1225654	5.15987e+11	50k	150k	95	41	79	50M	30003	262.8696	333.3240	9.1611	16.127	102185593	143034203	46289	1261	zmays41	s50k	l150k	p95	n41	k79	B50M
zmays41.s50k.l150k.p95.n41.k49.B50M	zmays41	46289	41	90.2491	0.26452	0.232509	0.232573	0.264708	0.00569028	zmays41.s50k.l150k.p95.n41	1225654	5.15987e+11	50k	150k	95	41	49	50M	28593	292.7104	365.6094	9.9062	15.5991	119733503	168474045	46289	1254	zmays41	s50k	l150k	p95	n41	k49	B50M
