#length	nodes	edges	paths
207198674	11289517	16205724	922
##num_weakly_connected_components: 135
#component	nodes	is_acyclic
0	11270101	no
1	1760	no
2	1	yes
3	1	yes
4	1	yes
5	2302	no
6	1	yes
7	1	yes
8	1	yes
9	1	yes
10	1	yes
11	1	yes
12	1	yes
13	328	yes
14	95	yes
15	1	yes
16	589	no
17	2231	no
18	766	yes
19	290	yes
20	1	yes
21	2792	no
22	1	yes
23	1	yes
24	1	yes
25	1	yes
26	1	yes
27	1	yes
28	1	yes
29	1	yes
30	1	yes
31	1256	yes
32	1	yes
33	1	yes
34	68	no
35	436	yes
36	1	yes
37	1	yes
38	1	yes
39	1	yes
40	1	yes
41	1	yes
42	82	yes
43	1	yes
44	165	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	295	yes
50	1	yes
51	1	yes
52	1	yes
53	1	yes
54	1	yes
55	1	yes
56	176	no
57	1	yes
58	1	yes
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	1	yes
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	73	no
71	1	yes
72	1	yes
73	1	yes
74	225	yes
75	1	yes
76	1	yes
77	1	yes
78	1	yes
79	1	yes
80	1	yes
81	1	yes
82	1	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	1	yes
105	1	yes
106	1	yes
107	1	yes
108	745	yes
109	1	yes
110	1	yes
111	3526	no
112	1	yes
113	1	yes
114	61	no
115	1	yes
116	122	yes
117	1	yes
118	1	yes
119	1	yes
120	1	yes
121	1	yes
122	1	yes
123	922	no
124	1	yes
125	1	yes
126	1	yes
127	1	yes
128	1	yes
129	1	yes
130	1	yes
131	1	yes
132	1	yes
133	1	yes
134	1	yes
#type	num
total	72589
unique	72576
A	61139613
B	7
C	35851038
D	21
G	35880374
H	17
K	916
M	949
N	13308596
R	1930
S	634
T	61011291
V	9
W	1188
Y	2091
