[seqwish::seqidx] 0.064 indexing sequences
[seqwish::seqidx] 2122.737 index built
[seqwish::alignments] 2122.737 processing alignments
[seqwish::alignments] 8604.621 indexing
[seqwish::alignments] 60428.980 index built
[seqwish::transclosure] 60428.982 computing transitive closures
[seqwish::transclosure] 60445.683 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 60624.856 0.00% 0-50000000 rank_build
[seqwish::transclosure] 60738.499 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 60959.648 0.00% 0-50000000 dset_write
[seqwish::transclosure] 60990.897 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 61011.273 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 61024.727 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 61040.120 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 61071.277 1.70% 50000000-100000000 overlap_collect
[seqwish::transclosure] 61212.881 1.70% 50000000-100000000 rank_build
[seqwish::transclosure] 61326.248 1.70% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 61962.340 1.70% 50000000-100000000 dset_write
[seqwish::transclosure] 61995.793 1.70% 50000000-100000000 dset_compression
[seqwish::transclosure] 62019.830 1.70% 50000000-100000000 dset_sort
[seqwish::transclosure] 62038.492 1.70% 50000000-100000000 dset_invert
[seqwish::transclosure] 62058.857 1.70% 50000000-100000000 graph_emission
[seqwish::transclosure] 62437.907 3.36% 100000000-150000000 overlap_collect
[seqwish::transclosure] 62591.272 3.36% 100000000-150000000 rank_build
[seqwish::transclosure] 62683.300 3.36% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 63059.923 3.36% 100000000-150000000 dset_write
[seqwish::transclosure] 63079.526 3.36% 100000000-150000000 dset_compression
[seqwish::transclosure] 63095.121 3.36% 100000000-150000000 dset_sort
[seqwish::transclosure] 63104.561 3.36% 100000000-150000000 dset_invert
[seqwish::transclosure] 63117.473 3.36% 100000000-150000000 graph_emission
[seqwish::transclosure] 63526.125 4.55% 150000000-200000000 overlap_collect
[seqwish::transclosure] 63691.828 4.55% 150000000-200000000 rank_build
[seqwish::transclosure] 63811.607 4.55% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 64420.405 4.55% 150000000-200000000 dset_write
[seqwish::transclosure] 64447.812 4.55% 150000000-200000000 dset_compression
[seqwish::transclosure] 64472.027 4.55% 150000000-200000000 dset_sort
[seqwish::transclosure] 64495.180 4.55% 150000000-200000000 dset_invert
[seqwish::transclosure] 64510.737 4.55% 150000000-200000000 graph_emission
[seqwish::transclosure] 64778.578 6.20% 200000000-370629783 overlap_collect
[seqwish::transclosure] 65013.669 6.20% 200000000-370629783 rank_build
[seqwish::transclosure] 65120.142 6.20% 200000000-370629783 parallel_union_find
[seqwish::transclosure] 65668.365 6.20% 200000000-370629783 dset_write
[seqwish::transclosure] 65702.116 6.20% 200000000-370629783 dset_compression
[seqwish::transclosure] 65726.265 6.20% 200000000-370629783 dset_sort
[seqwish::transclosure] 65740.191 6.20% 200000000-370629783 dset_invert
[seqwish::transclosure] 65753.593 6.20% 200000000-370629783 graph_emission
[seqwish::transclosure] 66014.864 7.82% 370629783-897445054 overlap_collect
[seqwish::transclosure] 66178.427 7.82% 370629783-897445054 rank_build
[seqwish::transclosure] 66239.236 7.82% 370629783-897445054 parallel_union_find
[seqwish::transclosure] 66250.316 7.82% 370629783-897445054 dset_write
[seqwish::transclosure] 66252.267 7.82% 370629783-897445054 dset_compression
[seqwish::transclosure] 66253.693 7.82% 370629783-897445054 dset_sort
[seqwish::transclosure] 66254.790 7.82% 370629783-897445054 dset_invert
[seqwish::transclosure] 66256.131 7.82% 370629783-897445054 graph_emission
[seqwish::transclosure] 66820.429 7.93% 897445054-2214286557 overlap_collect
[seqwish::transclosure] 66841.607 7.93% 897445054-2214286557 rank_build
[seqwish::transclosure] 66898.654 7.93% 897445054-2214286557 parallel_union_find
[seqwish::transclosure] 66898.971 7.93% 897445054-2214286557 dset_write
[seqwish::transclosure] 66899.607 7.93% 897445054-2214286557 dset_compression
[seqwish::transclosure] 66900.134 7.93% 897445054-2214286557 dset_sort
[seqwish::transclosure] 66900.660 7.93% 897445054-2214286557 dset_invert
[seqwish::transclosure] 66901.261 7.93% 897445054-2214286557 graph_emission
[seqwish::transclosure] 66915.444 7.98% 2214286557-3211170467 overlap_collect
[seqwish::transclosure] 66922.630 7.98% 2214286557-3211170467 rank_build
[seqwish::transclosure] 66977.367 7.98% 2214286557-3211170467 parallel_union_find
[seqwish::transclosure] 66977.583 7.98% 2214286557-3211170467 dset_write
[seqwish::transclosure] 66978.138 7.98% 2214286557-3211170467 dset_compression
[seqwish::transclosure] 66978.582 7.98% 2214286557-3211170467 dset_sort
[seqwish::transclosure] 66979.049 7.98% 2214286557-3211170467 dset_invert
[seqwish::transclosure] 66979.594 7.98% 2214286557-3211170467 graph_emission
[seqwish::transclosure] 66992.841 8.01% 3211170467-4190977862 overlap_collect
[seqwish::transclosure] 67000.625 8.01% 3211170467-4190977862 rank_build
[seqwish::transclosure] 67055.047 8.01% 3211170467-4190977862 parallel_union_find
[seqwish::transclosure] 67055.398 8.01% 3211170467-4190977862 dset_write
[seqwish::transclosure] 67055.795 8.01% 3211170467-4190977862 dset_compression
[seqwish::transclosure] 67056.147 8.01% 3211170467-4190977862 dset_sort
[seqwish::transclosure] 67056.551 8.01% 3211170467-4190977862 dset_invert
[seqwish::transclosure] 67056.966 8.01% 3211170467-4190977862 graph_emission
[seqwish::transclosure] 67070.347 8.04% 4190977862-5369283497 overlap_collect
[seqwish::transclosure] 67091.986 8.04% 4190977862-5369283497 rank_build
[seqwish::transclosure] 67147.916 8.04% 4190977862-5369283497 parallel_union_find
[seqwish::transclosure] 67148.941 8.04% 4190977862-5369283497 dset_write
[seqwish::transclosure] 67149.786 8.04% 4190977862-5369283497 dset_compression
[seqwish::transclosure] 67150.481 8.04% 4190977862-5369283497 dset_sort
