[seqwish::seqidx] 0.178 indexing sequences
[seqwish::seqidx] 2146.111 index built
[seqwish::alignments] 2146.111 processing alignments
[seqwish::alignments] 8089.267 indexing
[seqwish::alignments] 32574.976 index built
[seqwish::transclosure] 32574.985 computing transitive closures
[seqwish::transclosure] 32592.138 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 32716.040 0.00% 0-50000000 rank_build
[seqwish::transclosure] 32827.827 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 33029.078 0.00% 0-50000000 dset_write
[seqwish::transclosure] 33057.963 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 33079.268 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 33092.226 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 33109.626 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 33139.053 1.64% 50000000-100000000 overlap_collect
[seqwish::transclosure] 33257.183 1.64% 50000000-100000000 rank_build
[seqwish::transclosure] 33364.052 1.64% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 33944.469 1.64% 50000000-100000000 dset_write
[seqwish::transclosure] 33980.408 1.64% 50000000-100000000 dset_compression
[seqwish::transclosure] 34002.636 1.64% 50000000-100000000 dset_sort
[seqwish::transclosure] 34015.265 1.64% 50000000-100000000 dset_invert
[seqwish::transclosure] 34031.515 1.64% 50000000-100000000 graph_emission
[seqwish::transclosure] 34429.387 3.26% 100000000-150000000 overlap_collect
[seqwish::transclosure] 34510.281 3.26% 100000000-150000000 rank_build
[seqwish::transclosure] 34601.040 3.26% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 34905.249 3.26% 100000000-150000000 dset_write
[seqwish::transclosure] 34922.376 3.26% 100000000-150000000 dset_compression
[seqwish::transclosure] 34936.640 3.26% 100000000-150000000 dset_sort
[seqwish::transclosure] 34944.957 3.26% 100000000-150000000 dset_invert
[seqwish::transclosure] 34956.191 3.26% 100000000-150000000 graph_emission
[seqwish::transclosure] 35423.101 4.32% 150000000-200000000 overlap_collect
[seqwish::transclosure] 35541.363 4.32% 150000000-200000000 rank_build
[seqwish::transclosure] 35647.187 4.32% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 36212.064 4.32% 150000000-200000000 dset_write
[seqwish::transclosure] 36238.690 4.32% 150000000-200000000 dset_compression
[seqwish::transclosure] 36258.040 4.32% 150000000-200000000 dset_sort
[seqwish::transclosure] 36270.484 4.32% 150000000-200000000 dset_invert
[seqwish::transclosure] 36291.615 4.32% 150000000-200000000 graph_emission
[seqwish::transclosure] 36441.093 5.93% 200000000-273795365 overlap_collect
[seqwish::transclosure] 36575.885 5.93% 200000000-273795365 rank_build
[seqwish::transclosure] 36679.581 5.93% 200000000-273795365 parallel_union_find
[seqwish::transclosure] 37228.269 5.93% 200000000-273795365 dset_write
[seqwish::transclosure] 37258.252 5.93% 200000000-273795365 dset_compression
[seqwish::transclosure] 37279.308 5.93% 200000000-273795365 dset_sort
[seqwish::transclosure] 37291.635 5.93% 200000000-273795365 dset_invert
[seqwish::transclosure] 37305.742 5.93% 200000000-273795365 graph_emission
[seqwish::transclosure] 37643.362 7.50% 273795365-700646819 overlap_collect
[seqwish::transclosure] 37742.643 7.50% 273795365-700646819 rank_build
[seqwish::transclosure] 37806.740 7.50% 273795365-700646819 parallel_union_find
[seqwish::transclosure] 37837.347 7.50% 273795365-700646819 dset_write
[seqwish::transclosure] 37840.879 7.50% 273795365-700646819 dset_compression
[seqwish::transclosure] 37843.313 7.50% 273795365-700646819 dset_sort
[seqwish::transclosure] 37844.924 7.50% 273795365-700646819 dset_invert
[seqwish::transclosure] 37846.753 7.50% 273795365-700646819 graph_emission
[seqwish::transclosure] 38411.477 7.70% 700646819-1280941695 overlap_collect
[seqwish::transclosure] 38433.735 7.70% 700646819-1280941695 rank_build
[seqwish::transclosure] 38493.703 7.70% 700646819-1280941695 parallel_union_find
[seqwish::transclosure] 38497.702 7.70% 700646819-1280941695 dset_write
[seqwish::transclosure] 38499.622 7.70% 700646819-1280941695 dset_compression
[seqwish::transclosure] 38500.620 7.70% 700646819-1280941695 dset_sort
[seqwish::transclosure] 38501.540 7.70% 700646819-1280941695 dset_invert
[seqwish::transclosure] 38502.547 7.70% 700646819-1280941695 graph_emission
[seqwish::transclosure] 38547.475 7.78% 1280941695-2477751976 overlap_collect
[seqwish::transclosure] 38558.953 7.78% 1280941695-2477751976 rank_build
[seqwish::transclosure] 38615.553 7.78% 1280941695-2477751976 parallel_union_find
[seqwish::transclosure] 38616.625 7.78% 1280941695-2477751976 dset_write
[seqwish::transclosure] 38617.533 7.78% 1280941695-2477751976 dset_compression
[seqwish::transclosure] 38618.223 7.78% 1280941695-2477751976 dset_sort
[seqwish::transclosure] 38618.836 7.78% 1280941695-2477751976 dset_invert
[seqwish::transclosure] 38619.581 7.78% 1280941695-2477751976 graph_emission
[seqwish::transclosure] 38633.574 7.83% 2477751976-3209330234 overlap_collect
[seqwish::transclosure] 38637.861 7.83% 2477751976-3209330234 rank_build
[seqwish::transclosure] 38696.993 7.83% 2477751976-3209330234 parallel_union_find
[seqwish::transclosure] 38697.341 7.83% 2477751976-3209330234 dset_write
