#length	nodes	edges	paths
7386824563	47024256	64516350	17478
##num_weakly_connected_components: 672
#component	nodes	is_acyclic
0	35783120	no
1	2544374	no
2	2380580	no
3	2020852	no
4	1261819	no
5	1124073	no
6	1886658	no
7	215	yes
8	3512	no
9	109	yes
10	728	no
11	216	no
12	21	yes
13	1	yes
14	32	yes
15	1	yes
16	608	no
17	46	no
18	19	yes
19	1	yes
20	1	yes
21	105	yes
22	1	yes
23	1	yes
24	1	yes
25	1	yes
26	122	no
27	1	yes
28	1	yes
29	1	yes
30	42	no
31	1	yes
32	1	yes
33	5	yes
34	1	yes
35	1	yes
36	2	yes
37	1	yes
38	1	yes
39	1	yes
40	95	no
41	1	yes
42	1	yes
43	81	no
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	1	yes
50	106	no
51	1	yes
52	1	yes
53	1	yes
54	143	no
55	1	yes
56	1	yes
57	1	yes
58	16	no
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	9	no
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	1	yes
71	1	yes
72	1	yes
73	1	yes
74	1	yes
75	1	yes
76	1	yes
77	1	yes
78	1	yes
79	1	yes
80	322	yes
81	1	yes
82	6	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	35	yes
105	1	yes
106	371	no
107	219	yes
108	46	no
109	502	no
110	1	yes
111	66	yes
112	1	yes
113	1	yes
114	1	yes
115	1	yes
116	1	yes
117	1	yes
118	1	yes
119	72	yes
120	510	no
121	1	yes
122	1	yes
123	87	no
124	1	yes
125	1	yes
126	52	no
127	1	yes
128	1	yes
129	1	yes
130	1	yes
131	126	no
132	1	yes
133	1	yes
134	1	yes
135	1	yes
136	1	yes
137	1	yes
138	1	yes
139	239	no
140	1	yes
141	1	yes
142	3	yes
143	1	yes
144	115	yes
145	137	no
146	1	yes
147	1	yes
148	1	yes
149	1	yes
150	1	yes
151	1	yes
152	1	yes
153	1	yes
154	1	yes
155	1	yes
156	1	yes
157	1	yes
158	37	no
159	73	yes
160	70	no
161	1	yes
162	26	no
163	1	yes
164	1	yes
165	1	yes
166	1	yes
167	1	yes
168	25	no
169	1	yes
170	1	yes
171	1	yes
172	1	yes
173	1	yes
174	1	yes
175	1	yes
176	1	yes
177	1	yes
178	1	yes
179	1	yes
180	1	yes
181	1	yes
182	4	yes
183	1	yes
184	1	yes
185	11	yes
186	1	yes
187	1	yes
188	1	yes
189	1	yes
190	219	yes
191	1	yes
192	1	yes
193	140	no
194	1	yes
195	68	yes
196	1	yes
197	1	yes
198	1	yes
199	302	yes
200	1	yes
201	1	yes
202	1	yes
203	1	yes
204	1	yes
205	1	yes
206	1	yes
207	1	yes
208	35	no
209	55	no
210	1	yes
211	1	yes
212	114	yes
213	1	yes
214	110	yes
215	1	yes
216	1	yes
217	1	yes
218	1	yes
219	139	no
220	34	no
221	1	yes
222	1	yes
223	37	yes
224	1	yes
225	1	yes
226	1	yes
227	1	yes
228	1	yes
229	1	yes
230	1	yes
231	1	yes
232	1	yes
233	1	yes
234	1	yes
235	1	yes
236	1	yes
237	1	yes
238	1	yes
239	1	yes
240	1	yes
241	1	yes
242	1	yes
243	1	yes
244	1	yes
245	1	yes
246	1	yes
247	1	yes
248	1	yes
249	1	yes
250	1	yes
251	1	yes
252	1	yes
253	1	yes
254	9	no
255	25	no
256	1	yes
257	1	yes
258	1	yes
259	1	yes
260	1	yes
261	1	yes
262	1	yes
263	312	no
264	1	yes
265	74	yes
266	76	yes
267	315	yes
268	1	yes
269	1	yes
270	20	yes
271	1	yes
272	1	yes
273	1	yes
274	1	yes
275	1	yes
276	1	yes
277	1	yes
278	14	yes
279	1	yes
280	1	yes
281	1	yes
282	188	no
283	1	yes
284	1	yes
285	1	yes
286	1	yes
287	1	yes
288	237	no
289	1	yes
290	1	yes
291	1132	no
292	1	yes
293	13	yes
294	1	yes
295	1	yes
296	1	yes
297	1	yes
298	1	yes
299	5	yes
300	1	yes
301	1	yes
302	48	no
303	69	yes
304	212	yes
305	236	no
306	1	yes
307	48	yes
308	87	yes
309	1	yes
310	418	yes
311	108	yes
312	1	yes
313	1	yes
314	1	yes
315	1	yes
316	184	no
317	1	yes
318	1	yes
319	1	yes
320	1	yes
321	1	yes
322	131	yes
323	1	yes
324	1	yes
325	1	yes
326	1	yes
327	1	yes
328	1	yes
329	1	yes
330	1	yes
331	1	yes
332	1	yes
333	1	yes
334	1	yes
335	1	yes
336	1	yes
337	1	yes
338	1	yes
339	1	yes
340	1	yes
341	1	yes
342	1	yes
343	1	yes
344	1	yes
345	1	yes
