#length	nodes	edges	paths
6084318945	70488946	100963483	17478
##num_weakly_connected_components: 551
#component	nodes	is_acyclic
0	53246054	no
1	3851967	no
2	3074679	no
3	2818420	no
4	1744372	no
5	1859268	no
6	3800280	no
7	531	yes
8	5787	no
9	195	yes
10	1220	no
11	367	no
12	21	yes
13	1	yes
14	34	yes
15	1660	no
16	96	yes
17	19	yes
18	1	yes
19	1	yes
20	279	yes
21	1	yes
22	1	yes
23	1	yes
24	1	yes
25	564	no
26	1	yes
27	1	yes
28	1	yes
29	60	yes
30	1	yes
31	1	yes
32	5	yes
33	1	yes
34	1	yes
35	2	yes
36	1	yes
37	1	yes
38	1	yes
39	136	yes
40	1	yes
41	1	yes
42	111	no
43	1	yes
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	175	yes
49	1	yes
50	1	yes
51	1	yes
52	2187	no
53	1	yes
54	1	yes
55	1	yes
56	72	no
57	1	yes
58	1	yes
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	1	yes
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	1	yes
71	1	yes
72	1	yes
73	1	yes
74	658	yes
75	1	yes
76	6	yes
77	1	yes
78	1	yes
79	1	yes
80	1	yes
81	1	yes
82	1	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	43	yes
97	1	yes
98	1770	no
99	681	yes
100	297	yes
101	1	yes
102	133	yes
103	1	yes
104	1	yes
105	1	yes
106	1	yes
107	1	yes
108	1	yes
109	1	yes
110	96	yes
111	1032	no
112	1	yes
113	1	yes
114	139	no
115	1	yes
116	1	yes
117	76	yes
118	1	yes
119	1	yes
120	1	yes
121	160	yes
122	1	yes
123	1	yes
124	1	yes
125	1	yes
126	1	yes
127	1092	yes
128	1	yes
129	1	yes
130	3	yes
131	1	yes
132	157	yes
133	268	yes
134	1	yes
135	1	yes
136	1	yes
137	1	yes
138	1	yes
139	1	yes
140	1	yes
141	1	yes
142	1	yes
143	1	yes
144	1	yes
145	1	yes
146	41	yes
147	140	yes
148	123	yes
149	1	yes
150	55	yes
151	1	yes
152	1	yes
153	1	yes
154	1	yes
155	1	yes
156	1	yes
157	1	yes
158	1	yes
159	1	yes
160	1	yes
161	1	yes
162	1	yes
163	1	yes
164	1	yes
165	1	yes
166	1	yes
167	1	yes
168	21	yes
169	1	yes
170	1	yes
171	1055	yes
172	1	yes
173	1	yes
174	621	yes
175	1	yes
176	195	yes
177	1	yes
178	307	yes
179	1	yes
180	1	yes
181	1	yes
182	435	yes
183	1	yes
184	1	yes
185	1	yes
186	1	yes
187	1	yes
188	1	yes
189	1	yes
190	57	yes
191	146	yes
192	1	yes
193	1	yes
194	222	yes
195	1	yes
196	307	yes
197	1	yes
198	1	yes
199	1	yes
200	1	yes
201	1163	no
202	65	yes
203	56	yes
204	1	yes
205	1	yes
206	1	yes
207	1	yes
208	1	yes
209	1	yes
210	1	yes
211	1	yes
212	1	yes
213	1	yes
214	1	yes
215	1	yes
216	1	yes
217	1	yes
218	1	yes
219	1	yes
220	1	yes
221	1	yes
222	1	yes
223	1	yes
224	1	yes
225	1	yes
226	1	yes
227	1	yes
228	1	yes
229	1	yes
230	46	yes
231	246	yes
232	1	yes
233	1	yes
234	1	yes
235	1	yes
236	807	no
237	390	yes
238	233	yes
239	8755	yes
240	1	yes
241	1	yes
242	1	yes
243	1	yes
244	19	yes
245	1	yes
246	1	yes
247	1	yes
248	2060	no
249	1	yes
250	1	yes
251	1	yes
252	1	yes
253	2525	no
254	1	yes
255	13077	no
256	1	yes
257	3137	yes
258	1	yes
259	1	yes
260	53	no
261	97	yes
262	410	yes
263	1344	yes
264	1	yes
265	693	yes
266	243	yes
267	1	yes
268	1	yes
269	1	yes
270	1	yes
271	314	no
272	1	yes
273	1	yes
274	1	yes
275	1	yes
276	1	yes
277	202	yes
278	1	yes
279	1	yes
280	1	yes
281	1	yes
282	1	yes
283	1	yes
284	1	yes
285	1	yes
286	1	yes
287	1	yes
288	1	yes
289	1	yes
290	1	yes
291	1	yes
292	1	yes
293	1	yes
294	1	yes
295	1	yes
296	1	yes
297	1	yes
298	1	yes
299	1	yes
300	1	yes
301	1	yes
302	1	yes
303	4	yes
304	1	yes
305	1	yes
306	1	yes
307	1021	yes
308	1	yes
309	529	yes
310	1	yes
311	1	yes
312	1	yes
313	1	yes
314	1	yes
315	2005	yes
316	65	yes
317	689	yes
318	11	yes
319	1	yes
320	4	yes
321	1	yes
322	1937	no
323	1	yes
324	8539	yes
325	2052	yes
326	1	yes
327	1	yes
328	1	yes
329	1	yes
330	1	yes
331	1	yes
332	1	yes
333	1	yes
334	1	yes
335	1	yes
336	1	yes
337	1	yes
338	1	yes
339	1	yes
340	6	yes
341	1	yes
342	1	yes
343	349	yes
344	4287	yes
345	1	yes
346	1	yes
347	19	yes
348	1	yes
349	1	yes
350	1	yes
351	1	yes
352	470	yes
353	1	yes
354	660	yes
355	1	yes
356	1	yes
357	2466	no
358	1	yes
359	1	yes
360	716	no
361	1	yes
362	1	yes
363	1	yes
364	1	yes
365	1	yes
366	142	yes
367	1	yes
368	1	yes
369	1	yes
370	1	yes
371	1	yes
372	1	yes
373	1	yes
374	1	yes
375	1	yes
376	1	yes
377	1	yes
378	240	yes
379	1	yes
380	1	yes
381	1	yes
382	1	yes
383	1500	no
384	1	yes
385	1	yes
386	1	yes
387	1	yes
388	1	yes
389	1	yes
390	1	yes
391	4	yes
392	1	yes
393	1	yes
394	1	yes
395	1	yes
396	1148	no
397	1	yes
398	1	yes
399	93	no
400	1	yes
401	1	yes
402	1	yes
403	485	yes
404	241	yes
405	1	yes
406	1	yes
407	1	yes
408	1	yes
409	1	yes
410	1	yes
411	394	yes
412	1	yes
413	1	yes
414	1	yes
415	1	yes
416	1	yes
417	1	yes
418	1	yes
419	1	yes
420	1	yes
421	1	yes
422	1	yes
423	1	yes
424	1	yes
425	1	yes
426	1	yes
427	1	yes
428	1	yes
429	1	yes
430	1	yes
431	1	yes
432	1	yes
433	1	yes
434	1	yes
435	133	yes
436	1	yes
437	1	yes
438	1	yes
439	1	yes
440	1	yes
441	3	yes
442	1	yes
443	1	yes
444	1	yes
445	1	yes
446	1	yes
447	22	yes
448	1	yes
449	1	yes
450	1	yes
451	1	yes
452	191	no
453	1	yes
454	1	yes
455	1	yes
456	1	yes
457	1	yes
458	1	yes
459	1	yes
460	1	yes
461	1	yes
462	1	yes
463	1	yes
464	1	yes
465	1	yes
466	1	yes
467	1	yes
468	481	yes
469	1	yes
470	1	yes
471	1	yes
472	1	yes
473	1	yes
474	1	yes
475	1	yes
476	1	yes
477	1	yes
478	1	yes
479	197	yes
480	1	yes
481	1	yes
482	1	yes
483	167	yes
484	1	yes
485	1	yes
486	1	yes
487	1	yes
488	1	yes
489	1	yes
490	1	yes
491	1	yes
492	1912	yes
493	1	yes
494	1	yes
495	1	yes
496	1	yes
497	1	yes
498	1	yes
499	1	yes
500	140	yes
501	1	yes
502	1	yes
503	1	yes
504	1	yes
505	1	yes
506	1	yes
507	1	yes
508	1	yes
509	1	yes
510	1	yes
511	1	yes
512	215	yes
513	1	yes
514	1	yes
515	1	yes
516	1	yes
517	1	yes
518	1	yes
519	144	yes
520	1	yes
521	1	yes
522	1	yes
523	1	yes
524	1	yes
525	1	yes
526	1	yes
527	1	yes
528	1	yes
529	1	yes
530	1	yes
531	1	yes
532	1	yes
533	1	yes
534	1	yes
535	1	yes
536	1	yes
537	1	yes
538	1	yes
539	1	yes
540	1	yes
541	1	yes
542	1	yes
543	1	yes
544	1	yes
545	1	yes
546	1	yes
547	1	yes
548	1	yes
549	1	yes
550	1	yes
#type	num
total	1725090
unique	1725058
A	1796756558
B	2
C	1161337533
G	1163238322
K	8
M	8
N	164555796
R	26
S	4
T	1798430642
W	13
Y	33
