#length	nodes	edges	paths
6338246387	57259521	79768781	17478
##num_weakly_connected_components: 659
#component	nodes	is_acyclic
0	43326695	no
1	3009431	no
2	2775369	no
3	2426314	no
4	1519429	no
5	1455794	no
6	2698213	no
7	372	yes
8	4881	no
9	157	yes
10	1030	no
11	307	no
12	21	yes
13	1	yes
14	34	yes
15	1	yes
16	1168	no
17	82	yes
18	19	yes
19	1	yes
20	1	yes
21	193	yes
22	1	yes
23	1	yes
24	1	yes
25	1	yes
26	204	no
27	1	yes
28	1	yes
29	1	yes
30	54	yes
31	1	yes
32	1	yes
33	5	yes
34	1	yes
35	1	yes
36	2	yes
37	1	yes
38	1	yes
39	1	yes
40	124	no
41	1	yes
42	1	yes
43	104	no
44	1	yes
45	1	yes
46	1	yes
47	1	yes
48	1	yes
49	1	yes
50	150	yes
51	1	yes
52	1	yes
53	1	yes
54	624	no
55	1	yes
56	1	yes
57	1	yes
58	16	no
59	1	yes
60	1	yes
61	1	yes
62	1	yes
63	1	yes
64	1	yes
65	9	no
66	1	yes
67	1	yes
68	1	yes
69	1	yes
70	1	yes
71	1	yes
72	1	yes
73	1	yes
74	1	yes
75	1	yes
76	1	yes
77	1	yes
78	1	yes
79	1	yes
80	494	yes
81	1	yes
82	6	yes
83	1	yes
84	1	yes
85	1	yes
86	1	yes
87	1	yes
88	1	yes
89	1	yes
90	1	yes
91	1	yes
92	1	yes
93	1	yes
94	1	yes
95	1	yes
96	1	yes
97	1	yes
98	1	yes
99	1	yes
100	1	yes
101	1	yes
102	1	yes
103	1	yes
104	37	yes
105	1	yes
106	651	no
107	432	yes
108	165	yes
109	674	no
110	1	yes
111	127	yes
112	1	yes
113	1	yes
114	1	yes
115	1	yes
116	1	yes
117	1	yes
118	1	yes
119	90	yes
120	759	no
121	1	yes
122	1	yes
123	118	no
124	1	yes
125	1	yes
126	64	yes
127	1	yes
128	1	yes
129	1	yes
130	153	yes
131	1	yes
132	1	yes
133	1	yes
134	1	yes
135	1	yes
136	1	yes
137	637	no
138	1	yes
139	1	yes
140	3	yes
141	1	yes
142	138	yes
143	219	no
144	1	yes
145	1	yes
146	1	yes
147	1	yes
148	1	yes
149	1	yes
150	1	yes
151	1	yes
152	1	yes
153	1	yes
154	1	yes
155	1	yes
156	37	yes
157	118	yes
158	95	no
159	1	yes
160	42	yes
161	1	yes
162	1	yes
163	1	yes
164	1	yes
165	1	yes
166	46	no
167	1	yes
168	1	yes
169	1	yes
170	1	yes
171	1	yes
172	1	yes
173	1	yes
174	1	yes
175	1	yes
176	1	yes
177	1	yes
178	1	yes
179	7	yes
180	1	yes
181	1	yes
182	215	yes
183	1	yes
184	1	yes
185	1	yes
186	372	yes
187	1	yes
188	1	yes
189	176	no
190	1	yes
191	175	yes
192	1	yes
193	1	yes
194	1	yes
195	418	yes
196	1	yes
197	1	yes
198	1	yes
199	1	yes
200	1	yes
201	1	yes
202	1	yes
203	45	yes
204	84	no
205	1	yes
206	1	yes
207	179	yes
208	1	yes
209	205	yes
210	1	yes
211	1	yes
212	1	yes
213	1	yes
214	178	no
215	53	yes
216	1	yes
217	1	yes
218	56	yes
219	1	yes
220	1	yes
221	1	yes
222	1	yes
223	1	yes
224	1	yes
225	1	yes
226	1	yes
227	1	yes
228	1	yes
229	1	yes
230	1	yes
231	1	yes
232	1	yes
233	1	yes
234	1	yes
235	1	yes
236	1	yes
237	1	yes
238	1	yes
239	1	yes
240	1	yes
241	1	yes
242	1	yes
243	1	yes
244	1	yes
245	1	yes
246	1	yes
247	1	yes
248	1	yes
249	9	no
250	93	no
251	1	yes
252	1	yes
253	1	yes
254	1	yes
255	1	yes
256	1	yes
257	1	yes
258	584	no
259	1	yes
260	201	yes
261	158	yes
262	1934	yes
263	1	yes
264	1	yes
265	20	yes
266	1	yes
267	1	yes
268	1	yes
269	1	yes
270	1	yes
271	1	yes
272	15	yes
273	1	yes
274	1	yes
275	1	yes
276	883	no
277	1	yes
278	1	yes
279	1	yes
280	1	yes
281	1	yes
282	1091	no
283	1	yes
284	1	yes
285	5228	no
286	1	yes
287	16	yes
288	1	yes
289	1	yes
290	1	yes
291	1	yes
292	1	yes
293	508	yes
294	1	yes
295	1	yes
296	53	no
297	76	yes
298	332	yes
299	292	no
300	1	yes
301	66	yes
302	535	yes
303	1	yes
304	609	yes
305	184	yes
306	1	yes
307	1	yes
308	1	yes
309	1	yes
310	279	no
311	1	yes
312	1	yes
313	1	yes
314	1	yes
315	1	yes
316	170	yes
317	1	yes
318	1	yes
319	1	yes
320	1	yes
321	1	yes
322	1	yes
323	1	yes
324	1	yes
325	1	yes
326	1	yes
327	1	yes
328	1	yes
329	1	yes
330	1	yes
331	1	yes
332	1	yes
333	1	yes
334	1	yes
335	1	yes
336	1	yes
337	1	yes
338	1	yes
339	1	yes
340	1	yes
341	1	yes
342	1	yes
343	1	yes
344	1	yes
345	1	yes
346	70	yes
347	1	yes
348	1	yes
349	1	yes
350	4	yes
351	1	yes
352	1	yes
353	1	yes
354	1	yes
355	159	yes
356	1	yes
357	401	yes
358	1	yes
359	1	yes
360	1	yes
361	1	yes
362	1	yes
363	1	yes
364	1	yes
365	233	yes
366	31	no
367	508	yes
368	11	yes
369	1	yes
370	1	yes
371	4	yes
372	1	yes
373	179	no
374	1138	no
375	1	yes
376	1	yes
377	1	yes
378	3487	no
379	1379	yes
380	1	yes
381	1	yes
382	1	yes
383	1	yes
384	33	yes
385	1	yes
386	1	yes
387	1	yes
388	1	yes
389	1	yes
390	1	yes
391	1	yes
392	1	yes
393	1	yes
394	1	yes
395	1	yes
396	1	yes
397	1	yes
398	6	yes
399	1	yes
400	1	yes
401	272	no
402	2640	yes
403	1	yes
404	1	yes
405	1	yes
406	17	no
407	1	yes
408	1	yes
409	1	yes
410	1	yes
411	1	yes
412	80	yes
413	1	yes
414	1	yes
415	1	yes
416	530	yes
417	1	yes
418	1	yes
419	1	yes
420	1	yes
421	1	yes
422	1	yes
423	731	no
424	1	yes
425	1	yes
426	525	no
427	1	yes
428	1	yes
429	1	yes
430	1	yes
431	1	yes
432	95	yes
433	1	yes
434	1	yes
435	1	yes
436	1	yes
437	1	yes
438	1	yes
439	1	yes
440	1	yes
441	1	yes
442	1	yes
443	1	yes
444	1	yes
445	1	yes
446	1	yes
447	213	yes
448	1	yes
449	1	yes
450	51	no
451	1	yes
452	1	yes
453	1	yes
454	1	yes
455	877	no
456	1	yes
457	1	yes
458	1	yes
459	1	yes
460	1	yes
461	1	yes
462	1	yes
463	4	yes
464	1	yes
465	1	yes
466	1	yes
467	1	yes
468	1	yes
469	1	yes
470	976	no
471	1	yes
472	1	yes
473	85	no
474	1	yes
475	1	yes
476	1	yes
477	316	yes
478	213	yes
479	1	yes
480	1	yes
481	1	yes
482	1	yes
483	1	yes
484	1	yes
485	238	yes
486	1	yes
487	1	yes
488	1	yes
489	1	yes
490	1	yes
491	1	yes
492	1	yes
493	1	yes
494	1	yes
495	1	yes
496	1	yes
497	1	yes
498	1	yes
499	1	yes
500	1	yes
501	1	yes
502	1	yes
503	1	yes
504	1	yes
505	1	yes
506	1	yes
507	1	yes
508	1	yes
509	1	yes
510	1	yes
511	1	yes
512	1	yes
513	132	yes
514	1	yes
515	1	yes
516	1	yes
517	1	yes
518	1	yes
519	3	yes
520	1	yes
521	1	yes
522	1	yes
523	1	yes
524	1	yes
525	1	yes
526	1	yes
527	1	yes
528	1	yes
529	22	yes
530	1	yes
531	1	yes
532	1	yes
533	1	yes
534	163	no
535	1	yes
536	147	yes
537	1	yes
538	1	yes
539	1	yes
540	1	yes
541	1	yes
542	1	yes
543	1	yes
