[seqwish::seqidx] 3.367 indexing sequences
[seqwish::seqidx] 2123.820 index built
[seqwish::alignments] 2123.820 processing alignments
[seqwish::alignments] 8617.616 indexing
[seqwish::alignments] 52687.851 index built
[seqwish::transclosure] 52687.859 computing transitive closures
[seqwish::transclosure] 52704.606 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 52852.327 0.00% 0-50000000 rank_build
[seqwish::transclosure] 52973.053 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 53197.328 0.00% 0-50000000 dset_write
[seqwish::transclosure] 53224.619 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 53247.845 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 53261.123 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 53278.353 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 53306.064 1.69% 50000000-100000000 overlap_collect
[seqwish::transclosure] 53482.027 1.69% 50000000-100000000 rank_build
[seqwish::transclosure] 53615.181 1.69% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 54229.271 1.69% 50000000-100000000 dset_write
[seqwish::transclosure] 54261.049 1.69% 50000000-100000000 dset_compression
[seqwish::transclosure] 54283.103 1.69% 50000000-100000000 dset_sort
[seqwish::transclosure] 54295.932 1.69% 50000000-100000000 dset_invert
[seqwish::transclosure] 54311.787 1.69% 50000000-100000000 graph_emission
[seqwish::transclosure] 54709.482 3.35% 100000000-150000000 overlap_collect
[seqwish::transclosure] 54855.897 3.35% 100000000-150000000 rank_build
[seqwish::transclosure] 54978.029 3.35% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 55316.459 3.35% 100000000-150000000 dset_write
[seqwish::transclosure] 55337.209 3.35% 100000000-150000000 dset_compression
[seqwish::transclosure] 55352.759 3.35% 100000000-150000000 dset_sort
[seqwish::transclosure] 55362.256 3.35% 100000000-150000000 dset_invert
[seqwish::transclosure] 55375.384 3.35% 100000000-150000000 graph_emission
[seqwish::transclosure] 55812.546 4.50% 150000000-200000000 overlap_collect
[seqwish::transclosure] 56002.241 4.50% 150000000-200000000 rank_build
[seqwish::transclosure] 56138.096 4.50% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 56675.828 4.50% 150000000-200000000 dset_write
[seqwish::transclosure] 56705.892 4.50% 150000000-200000000 dset_compression
[seqwish::transclosure] 56726.453 4.50% 150000000-200000000 dset_sort
[seqwish::transclosure] 56739.339 4.50% 150000000-200000000 dset_invert
[seqwish::transclosure] 56765.593 4.50% 150000000-200000000 graph_emission
[seqwish::transclosure] 57018.070 6.15% 200000000-370365268 overlap_collect
[seqwish::transclosure] 57273.010 6.15% 200000000-370365268 rank_build
[seqwish::transclosure] 57404.577 6.15% 200000000-370365268 parallel_union_find
[seqwish::transclosure] 57974.461 6.15% 200000000-370365268 dset_write
[seqwish::transclosure] 58006.276 6.15% 200000000-370365268 dset_compression
[seqwish::transclosure] 58026.719 6.15% 200000000-370365268 dset_sort
[seqwish::transclosure] 58039.166 6.15% 200000000-370365268 dset_invert
[seqwish::transclosure] 58052.254 6.15% 200000000-370365268 graph_emission
[seqwish::transclosure] 58344.825 7.77% 370365268-893681123 overlap_collect
[seqwish::transclosure] 58480.876 7.77% 370365268-893681123 rank_build
[seqwish::transclosure] 58562.956 7.77% 370365268-893681123 parallel_union_find
[seqwish::transclosure] 58575.477 7.77% 370365268-893681123 dset_write
[seqwish::transclosure] 58577.635 7.77% 370365268-893681123 dset_compression
[seqwish::transclosure] 58579.156 7.77% 370365268-893681123 dset_sort
[seqwish::transclosure] 58580.294 7.77% 370365268-893681123 dset_invert
