[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2164.324 index built
[seqwish::alignments] 2164.324 processing alignments
[seqwish::alignments] 9030.334 indexing
[seqwish::alignments] 39103.665 index built
[seqwish::transclosure] 39103.675 computing transitive closures
[seqwish::transclosure] 39120.821 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 39252.336 0.00% 0-50000000 rank_build
[seqwish::transclosure] 39367.462 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 39575.715 0.00% 0-50000000 dset_write
[seqwish::transclosure] 39605.693 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 39626.802 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 39640.004 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 39656.738 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 39688.864 1.66% 50000000-100000000 overlap_collect
[seqwish::transclosure] 39811.043 1.66% 50000000-100000000 rank_build
[seqwish::transclosure] 39920.251 1.66% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 40493.680 1.66% 50000000-100000000 dset_write
[seqwish::transclosure] 40525.785 1.66% 50000000-100000000 dset_compression
[seqwish::transclosure] 40548.397 1.66% 50000000-100000000 dset_sort
[seqwish::transclosure] 40561.113 1.66% 50000000-100000000 dset_invert
[seqwish::transclosure] 40578.204 1.66% 50000000-100000000 graph_emission
[seqwish::transclosure] 40978.454 3.30% 100000000-150000000 overlap_collect
[seqwish::transclosure] 41066.022 3.30% 100000000-150000000 rank_build
[seqwish::transclosure] 41159.880 3.30% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 41481.382 3.30% 100000000-150000000 dset_write
[seqwish::transclosure] 41498.636 3.30% 100000000-150000000 dset_compression
[seqwish::transclosure] 41513.429 3.30% 100000000-150000000 dset_sort
[seqwish::transclosure] 41522.009 3.30% 100000000-150000000 dset_invert
[seqwish::transclosure] 41538.880 3.30% 100000000-150000000 graph_emission
[seqwish::transclosure] 41996.219 4.38% 150000000-200000000 overlap_collect
[seqwish::transclosure] 42125.675 4.38% 150000000-200000000 rank_build
[seqwish::transclosure] 42231.523 4.38% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 42808.792 4.38% 150000000-200000000 dset_write
[seqwish::transclosure] 42839.775 4.38% 150000000-200000000 dset_compression
[seqwish::transclosure] 42860.483 4.38% 150000000-200000000 dset_sort
[seqwish::transclosure] 42872.889 4.38% 150000000-200000000 dset_invert
[seqwish::transclosure] 42886.594 4.38% 150000000-200000000 graph_emission
[seqwish::transclosure] 43033.278 6.00% 200000000-296924501 overlap_collect
[seqwish::transclosure] 43184.123 6.00% 200000000-296924501 rank_build
[seqwish::transclosure] 43292.091 6.00% 200000000-296924501 parallel_union_find
[seqwish::transclosure] 43812.407 6.00% 200000000-296924501 dset_write
[seqwish::transclosure] 43842.014 6.00% 200000000-296924501 dset_compression
[seqwish::transclosure] 43862.240 6.00% 200000000-296924501 dset_sort
[seqwish::transclosure] 43875.330 6.00% 200000000-296924501 dset_invert
[seqwish::transclosure] 43888.103 6.00% 200000000-296924501 graph_emission
[seqwish::transclosure] 44226.518 7.60% 296924501-705455410 overlap_collect
[seqwish::transclosure] 44329.014 7.60% 296924501-705455410 rank_build
[seqwish::transclosure] 44392.782 7.60% 296924501-705455410 parallel_union_find
[seqwish::transclosure] 44415.232 7.60% 296924501-705455410 dset_write
[seqwish::transclosure] 44417.979 7.60% 296924501-705455410 dset_compression
[seqwish::transclosure] 44420.136 7.60% 296924501-705455410 dset_sort
[seqwish::transclosure] 44421.525 7.60% 296924501-705455410 dset_invert
[seqwish::transclosure] 44423.231 7.60% 296924501-705455410 graph_emission
[seqwish::transclosure] 44994.098 7.77% 705455410-1733835192 overlap_collect
[seqwish::transclosure] 45020.934 7.77% 705455410-1733835192 rank_build
[seqwish::transclosure] 45078.255 7.77% 705455410-1733835192 parallel_union_find
[seqwish::transclosure] 45081.920 7.77% 705455410-1733835192 dset_write
[seqwish::transclosure] 45083.201 7.77% 705455410-1733835192 dset_compression
[seqwish::transclosure] 45084.350 7.77% 705455410-1733835192 dset_sort
[seqwish::transclosure] 45085.039 7.77% 705455410-1733835192 dset_invert
[seqwish::transclosure] 45085.918 7.77% 705455410-1733835192 graph_emission
[seqwish::transclosure] 45118.324 7.84% 1733835192-2655995006 overlap_collect
[seqwish::transclosure] 45126.863 7.84% 1733835192-2655995006 rank_build
[seqwish::transclosure] 45186.918 7.84% 1733835192-2655995006 parallel_union_find
[seqwish::transclosure] 45187.445 7.84% 1733835192-2655995006 dset_write
[seqwish::transclosure] 45188.214 7.84% 1733835192-2655995006 dset_compression
[seqwish::transclosure] 45188.841 7.84% 1733835192-2655995006 dset_sort
[seqwish::transclosure] 45189.390 7.84% 1733835192-2655995006 dset_invert
