[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2103.997 index built
[seqwish::alignments] 2103.997 processing alignments
[seqwish::alignments] 6524.770 indexing
[seqwish::alignments] 40892.760 index built
[seqwish::transclosure] 45898.234 8.00% 4645932557-5540004101 dset_write
[seqwish::transclosure] 45898.897 8.00% 4645932557-5540004101 dset_compression
[seqwish::transclosure] 45899.446 8.00% 4645932557-5540004101 dset_sort
[seqwish::transclosure] 45899.964 8.00% 4645932557-5540004101 dset_invert
[seqwish::transclosure] 45900.585 8.00% 4645932557-5540004101 graph_emission
[seqwish::transclosure] 45916.076 8.05% 5540004101-7222658200 overlap_collect
[seqwish::transclosure] 45921.794 8.05% 5540004101-7222658200 rank_build
[seqwish::transclosure] 45977.156 8.05% 5540004101-7222658200 parallel_union_find
[seqwish::transclosure] 45977.310 8.05% 5540004101-7222658200 dset_write
[seqwish::transclosure] 45977.677 8.05% 5540004101-7222658200 dset_compression
[seqwish::transclosure] 45977.953 8.05% 5540004101-7222658200 dset_sort
[seqwish::transclosure] 45978.392 8.05% 5540004101-7222658200 dset_invert
[seqwish::transclosure] 45978.832 8.05% 5540004101-7222658200 graph_emission
[seqwish::transclosure] 45994.701 8.07% 7222658200-8276755369 overlap_collect
[seqwish::transclosure] 45998.456 8.07% 7222658200-8276755369 rank_build
[seqwish::transclosure] 46056.872 8.07% 7222658200-8276755369 parallel_union_find
[seqwish::transclosure] 46056.934 8.07% 7222658200-8276755369 dset_write
[seqwish::transclosure] 46057.278 8.07% 7222658200-8276755369 dset_compression
[seqwish::transclosure] 46057.529 8.07% 7222658200-8276755369 dset_sort
[seqwish::transclosure] 46057.959 8.07% 7222658200-8276755369 dset_invert
[seqwish::transclosure] 46058.347 8.07% 7222658200-8276755369 graph_emission
[seqwish::transclosure] 46073.646 8.10% 8276755369-9688585026 overlap_collect
[seqwish::transclosure] 46078.149 8.10% 8276755369-9688585026 rank_build
[seqwish::transclosure] 46133.387 8.10% 8276755369-9688585026 parallel_union_find
[seqwish::transclosure] 46133.460 8.10% 8276755369-9688585026 dset_write
[seqwish::transclosure] 46133.811 8.10% 8276755369-9688585026 dset_compression
[seqwish::transclosure] 46134.107 8.10% 8276755369-9688585026 dset_sort
[seqwish::transclosure] 46134.552 8.10% 8276755369-9688585026 dset_invert
