	
[seqwish::seqidx] 0.043 indexing sequences
[seqwish::seqidx] 2127.004 index built
[seqwish::alignments] 2127.004 processing alignments
[seqwish::alignments] 8938.554 indexing
[seqwish::alignments] 64419.272 index built
[seqwish::transclosure] 71430.544 8.13% 5519730788-7162182007 dset_write
[seqwish::transclosure] 71431.168 8.13% 5519730788-7162182007 dset_compression
[seqwish::transclosure] 71431.681 8.13% 5519730788-7162182007 dset_sort
[seqwish::transclosure] 71432.231 8.13% 5519730788-7162182007 dset_invert
[seqwish::transclosure] 71432.825 8.13% 5519730788-7162182007 graph_emission
[seqwish::transclosure] 71448.322 8.17% 7162228206-8277138051 overlap_collect
[seqwish::transclosure] 71453.258 8.17% 7162228206-8277138051 rank_build
[seqwish::transclosure] 71508.452 8.17% 7162228206-8277138051 parallel_union_find
[seqwish::transclosure] 71508.489 8.17% 7162228206-8277138051 dset_write
[seqwish::transclosure] 71508.799 8.17% 7162228206-8277138051 dset_compression
[seqwish::transclosure] 71509.043 8.17% 7162228206-8277138051 dset_sort
[seqwish::transclosure] 71509.504 8.17% 7162228206-8277138051 dset_invert
[seqwish::transclosure] 71509.893 8.17% 7162228206-8277138051 graph_emission
[seqwish::transclosure] 71524.890 8.19% 8277138051-9797132271 overlap_collect
[seqwish::transclosure] 71529.885 8.19% 8277138051-9797132271 rank_build
[seqwish::transclosure] 71584.591 8.19% 8277138051-9797132271 parallel_union_find
[seqwish::transclosure] 71584.648 8.19% 8277138051-9797132271 dset_write
[seqwish::transclosure] 71584.987 8.19% 8277138051-9797132271 dset_compression
[seqwish::transclosure] 71585.244 8.19% 8277138051-9797132271 dset_sort
[seqwish::transclosure] 71585.650 8.19% 8277138051-9797132271 dset_invert
[seqwish::transclosure] 71586.044 8.19% 8277138051-9797132271 graph_emission
[seqwish::transclosure] 71600.936 8.22% 9797288274-10958249354 overlap_collect
[seqwish::transclosure] 71605.004 8.22% 9797288274-10958249354 rank_build
[seqwish::transclosure] 71660.271 8.22% 9797288274-10958249354 parallel_union_find
[seqwish::transclosure] 71660.293 8.22% 9797288274-10958249354 dset_write
[seqwish::transclosure] 71660.569 8.22% 9797288274-10958249354 dset_compression
[seqwish::transclosure] 71660.789 8.22% 9797288274-10958249354 dset_sort
[seqwish::transclosure] 71661.232 8.22% 9797288274-10958249354 dset_invert
[seqwish::transclosure] 71661.582 8.22% 9797288274-10958249354 graph_emission
[seqwish::transclosure] 71675.592 8.24% 10958249354-11939903675 overlap_collect
[seqwish::transclosure] 71679.443 8.24% 10958249354-11939903675 rank_build
[seqwish::transclosure] 71738.622 8.24% 10958249354-11939903675 parallel_union_find
[seqwish::transclosure] 71738.732 8.24% 10958249354-11939903675 dset_write
[seqwish::transclosure] 71739.189 8.24% 10958249354-11939903675 dset_compression
[seqwish::transclosure] 71739.569 8.24% 10958249354-11939903675 dset_sort
[seqwish::transclosure] 71740.024 8.24% 10958249354-11939903675 dset_invert
[seqwish::transclosure] 71740.506 8.24% 10958249354-11939903675 graph_emission
[seqwish::transclosure] 71754.937 8.27% 11939903675-13083086004 overlap_collect
[seqwish::transclosure] 71758.837 8.27% 11939903675-13083086004 rank_build
[seqwish::transclosure] 71814.439 8.27% 11939903675-13083086004 parallel_union_find
[seqwish::transclosure] 71814.510 8.27% 11939903675-13083086004 dset_write
[seqwish::transclosure] 71814.863 8.27% 11939903675-13083086004 dset_compression
[seqwish::transclosure] 71815.153 8.27% 11939903675-13083086004 dset_sort
[seqwish::transclosure] 71815.567 8.27% 11939903675-13083086004 dset_invert
[seqwish::transclosure] 71815.952 8.27% 11939903675-13083086004 graph_emission
[seqwish::transclosure] 71830.428 8.29% 13083086004-14417643034 overlap_collect
[seqwish::transclosure] 71858.436 8.29% 13083086004-14417643034 rank_build
[seqwish::transclosure] 71913.739 8.29% 13083086004-14417643034 parallel_union_find
[seqwish::transclosure] 71914.715 8.29% 13083086004-14417643034 dset_write
[seqwish::transclosure] 71915.562 8.29% 13083086004-14417643034 dset_compression
[seqwish::transclosure] 71916.251 8.29% 13083086004-14417643034 dset_sort
[seqwish::transclosure] 71916.975 8.29% 13083086004-14417643034 dset_invert
[seqwish::transclosure] 71917.726 8.29% 13083086004-14417643034 graph_emission
[seqwish::transclosure] 71932.268 8.35% 14418341183-15444456658 overlap_collect
[seqwish::transclosure] 71935.669 8.35% 14418341183-15444456658 rank_build
[seqwish::transclosure] 71993.128 8.35% 14418341183-15444456658 parallel_union_find
[seqwish::transclosure] 71993.251 8.35% 14418341183-15444456658 dset_write
[seqwish::transclosure] 71993.649 8.35% 14418341183-15444456658 dset_compression
[seqwish::transclosure] 71993.941 8.35% 14418341183-15444456658 dset_sort
[seqwish::transclosure] 71994.388 8.35% 14418341183-15444456658 dset_invert
[seqwish::transclosure] 71994.798 8.35% 14418341183-15444456658 graph_emission
[seqwish::transclosure] 72009.426 8.38% 15444456658-16713429322 overlap_collect
[seqwish::transclosure] 72013.390 8.38% 15444456658-16713429322 rank_build
[seqwish::transclosure] 72067.995 8.38% 15444456658-16713429322 parallel_union_find
[seqwish::transclosure] 72068.022 8.38% 15444456658-16713429322 dset_write
[seqwish::transclosure] 72068.298 8.38% 15444456658-16713429322 dset_compression
[seqwish::transclosure] 72068.500 8.38% 15444456658-16713429322 dset_sort
[seqwish::transclosure] 72068.891 8.38% 15444456658-16713429322 dset_invert
[seqwish::transclosure] 72069.242 8.38% 15444456658-16713429322 graph_emission
