octopus08
[seqwish::seqidx] 0.015 indexing sequences
[seqwish::seqidx] 907.437 index built
[seqwish::alignments] 907.438 processing alignments
[seqwish::alignments] 1971.214 indexing
[seqwish::alignments] 5399.451 index built
[seqwish::transclosure] 9256.653 15.95% 500716373-550716373 dset_sort
[seqwish::transclosure] 9261.556 15.95% 500716373-550716373 dset_invert
[seqwish::transclosure] 9272.343 15.95% 500716373-550716373 graph_emission
[seqwish::transclosure] 9448.131 17.60% 550716373-600716373 overlap_collect
[seqwish::transclosure] 9486.038 17.60% 550716373-600716373 rank_build
[seqwish::transclosure] 9534.990 17.60% 550716373-600716373 parallel_union_find
[seqwish::transclosure] 9626.394 17.60% 550716373-600716373 dset_write
[seqwish::transclosure] 9639.226 17.60% 550716373-600716373 dset_compression
[seqwish::transclosure] 9650.324 17.60% 550716373-600716373 dset_sort
[seqwish::transclosure] 9655.178 17.60% 550716373-600716373 dset_invert
[seqwish::transclosure] 9664.341 17.60% 550716373-600716373 graph_emission
[seqwish::transclosure] 9836.826 19.25% 600716373-650716373 overlap_collect
[seqwish::transclosure] 9863.258 19.25% 600716373-650716373 rank_build
[seqwish::transclosure] 9906.707 19.25% 600716373-650716373 parallel_union_find
[seqwish::transclosure] 10021.091 19.25% 600716373-650716373 dset_write
[seqwish::transclosure] 10033.936 19.25% 600716373-650716373 dset_compression
[seqwish::transclosure] 10045.090 19.25% 600716373-650716373 dset_sort
[seqwish::transclosure] 10050.054 19.25% 600716373-650716373 dset_invert
[seqwish::transclosure] 10059.262 19.25% 600716373-650716373 graph_emission
[seqwish::transclosure] 10266.705 20.91% 650716373-700812605 overlap_collect
[seqwish::transclosure] 10295.839 20.91% 650716373-700812605 rank_build
[seqwish::transclosure] 10336.989 20.91% 650716373-700812605 parallel_union_find
[seqwish::transclosure] 10430.406 20.91% 650716373-700812605 dset_write
[seqwish::transclosure] 10443.203 20.91% 650716373-700812605 dset_compression
[seqwish::transclosure] 10455.329 20.91% 650716373-700812605 dset_sort
[seqwish::transclosure] 10460.102 20.91% 650716373-700812605 dset_invert
[seqwish::transclosure] 10469.675 20.91% 650716373-700812605 graph_emission
[seqwish::transclosure] 10646.596 22.57% 700812777-750812777 overlap_collect
[seqwish::transclosure] 10672.226 22.57% 700812777-750812777 rank_build
[seqwish::transclosure] 10711.259 22.57% 700812777-750812777 parallel_union_find
[seqwish::transclosure] 10801.116 22.57% 700812777-750812777 dset_write
[seqwish::transclosure] 10812.743 22.57% 700812777-750812777 dset_compression
[seqwish::transclosure] 10823.223 22.57% 700812777-750812777 dset_sort
[seqwish::transclosure] 10827.907 22.57% 700812777-750812777 dset_invert
[seqwish::transclosure] 10836.969 22.57% 700812777-750812777 graph_emission
[seqwish::transclosure] 11028.030 24.09% 750812777-800812777 overlap_collect
[seqwish::transclosure] 11056.479 24.09% 750812777-800812777 rank_build
[seqwish::transclosure] 11100.410 24.09% 750812777-800812777 parallel_union_find
[seqwish::transclosure] 11191.694 24.09% 750812777-800812777 dset_write
[seqwish::transclosure] 11204.506 24.09% 750812777-800812777 dset_compression
[seqwish::transclosure] 11217.588 24.09% 750812777-800812777 dset_sort
[seqwish::transclosure] 11222.541 24.09% 750812777-800812777 dset_invert
[seqwish::transclosure] 11235.130 24.09% 750812777-800812777 graph_emission
[seqwish::transclosure] 11401.816 25.74% 800812777-850812777 overlap_collect
[seqwish::transclosure] 11429.662 25.74% 800812777-850812777 rank_build
[seqwish::transclosure] 11474.259 25.74% 800812777-850812777 parallel_union_find
[seqwish::transclosure] 11602.569 25.74% 800812777-850812777 dset_write
[seqwish::transclosure] 11615.428 25.74% 800812777-850812777 dset_compression
[seqwish::transclosure] 11626.384 25.74% 800812777-850812777 dset_sort
[seqwish::transclosure] 11631.002 25.74% 800812777-850812777 dset_invert
[seqwish::transclosure] 11640.021 25.74% 800812777-850812777 graph_emission
[seqwish::transclosure] 11805.502 27.40% 850812777-900812777 overlap_collect
[seqwish::transclosure] 11834.570 27.40% 850812777-900812777 rank_build
[seqwish::transclosure] 11878.940 27.40% 850812777-900812777 parallel_union_find
[seqwish::transclosure] 11976.084 27.40% 850812777-900812777 dset_write
[seqwish::transclosure] 11990.753 27.40% 850812777-900812777 dset_compression
[seqwish::transclosure] 12002.403 27.40% 850812777-900812777 dset_sort
[seqwish::transclosure] 12007.160 27.40% 850812777-900812777 dset_invert
[seqwish::transclosure] 12016.350 27.40% 850812777-900812777 graph_emission
[seqwish::transclosure] 12188.098 29.06% 900812777-950812777 overlap_collect
[seqwish::transclosure] 12216.710 29.06% 900812777-950812777 rank_build
[seqwish::transclosure] 12258.326 29.06% 900812777-950812777 parallel_union_find
