octopus08
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 891.785 index built
[seqwish::alignments] 891.786 processing alignments
[seqwish::alignments] 1665.702 indexing
[seqwish::alignments] 3846.479 index built
[seqwish::transclosure] 7603.980 15.71% 500275426-550275426 dset_sort
[seqwish::transclosure] 7608.664 15.71% 500275426-550275426 dset_invert
[seqwish::transclosure] 7620.784 15.71% 500275426-550275426 graph_emission
[seqwish::transclosure] 7782.620 17.34% 550275426-600275426 overlap_collect
[seqwish::transclosure] 7807.234 17.34% 550275426-600275426 rank_build
[seqwish::transclosure] 7852.138 17.34% 550275426-600275426 parallel_union_find
[seqwish::transclosure] 7973.068 17.34% 550275426-600275426 dset_write
[seqwish::transclosure] 7985.174 17.34% 550275426-600275426 dset_compression
[seqwish::transclosure] 7997.197 17.34% 550275426-600275426 dset_sort
[seqwish::transclosure] 8003.115 17.34% 550275426-600275426 dset_invert
[seqwish::transclosure] 8016.610 17.34% 550275426-600275426 graph_emission
[seqwish::transclosure] 8167.978 18.93% 600275426-650275426 overlap_collect
[seqwish::transclosure] 8192.655 18.93% 600275426-650275426 rank_build
[seqwish::transclosure] 8238.768 18.93% 600275426-650275426 parallel_union_find
[seqwish::transclosure] 8355.003 18.93% 600275426-650275426 dset_write
[seqwish::transclosure] 8367.230 18.93% 600275426-650275426 dset_compression
[seqwish::transclosure] 8378.924 18.93% 600275426-650275426 dset_sort
[seqwish::transclosure] 8383.928 18.93% 600275426-650275426 dset_invert
[seqwish::transclosure] 8394.163 18.93% 600275426-650275426 graph_emission
[seqwish::transclosure] 8568.684 20.57% 650275426-700356765 overlap_collect
[seqwish::transclosure] 8593.545 20.57% 650275426-700356765 rank_build
[seqwish::transclosure] 8654.218 20.57% 650275426-700356765 parallel_union_find
[seqwish::transclosure] 8765.536 20.57% 650275426-700356765 dset_write
[seqwish::transclosure] 8779.528 20.57% 650275426-700356765 dset_compression
[seqwish::transclosure] 8791.977 20.57% 650275426-700356765 dset_sort
[seqwish::transclosure] 8796.873 20.57% 650275426-700356765 dset_invert
[seqwish::transclosure] 8805.467 20.57% 650275426-700356765 graph_emission
[seqwish::transclosure] 8955.952 22.20% 700356765-750356765 overlap_collect
[seqwish::transclosure] 8976.917 22.20% 700356765-750356765 rank_build
[seqwish::transclosure] 9021.922 22.20% 700356765-750356765 parallel_union_find
