octopus09
[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 881.780 index built
[seqwish::alignments] 881.781 processing alignments
[seqwish::alignments] 2296.912 indexing
[seqwish::alignments] 6346.971 index built
[seqwish::transclosure] 6346.973 computing transitive closures
[seqwish::transclosure] 6355.522 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 6388.622 0.00% 0-50000000 rank_build
[seqwish::transclosure] 6434.470 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 6472.374 0.00% 0-50000000 dset_write
[seqwish::transclosure] 6485.034 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 6495.635 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 6500.395 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 6508.372 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 6518.935 1.68% 50000000-100000000 overlap_collect
[seqwish::transclosure] 6554.139 1.68% 50000000-100000000 rank_build
[seqwish::transclosure] 6608.338 1.68% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 6712.885 1.68% 50000000-100000000 dset_write
[seqwish::transclosure] 6726.838 1.68% 50000000-100000000 dset_compression
[seqwish::transclosure] 6739.589 1.68% 50000000-100000000 dset_sort
[seqwish::transclosure] 6744.421 1.68% 50000000-100000000 dset_invert
[seqwish::transclosure] 6753.224 1.68% 50000000-100000000 graph_emission
[seqwish::transclosure] 6947.623 3.34% 100000000-150000000 overlap_collect
[seqwish::transclosure] 6991.491 3.34% 100000000-150000000 rank_build
[seqwish::transclosure] 7037.213 3.34% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 7115.694 3.34% 100000000-150000000 dset_write
[seqwish::transclosure] 7124.144 3.34% 100000000-150000000 dset_compression
[seqwish::transclosure] 7131.588 3.34% 100000000-150000000 dset_sort
[seqwish::transclosure] 7135.126 3.34% 100000000-150000000 dset_invert
[seqwish::transclosure] 7141.730 3.34% 100000000-150000000 graph_emission
[seqwish::transclosure] 7328.652 4.44% 150000000-200000000 overlap_collect
[seqwish::transclosure] 7367.821 4.44% 150000000-200000000 rank_build
[seqwish::transclosure] 7424.728 4.44% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 7534.402 4.44% 150000000-200000000 dset_write
[seqwish::transclosure] 7547.546 4.44% 150000000-200000000 dset_compression
[seqwish::transclosure] 7561.972 4.44% 150000000-200000000 dset_sort
[seqwish::transclosure] 7568.028 4.44% 150000000-200000000 dset_invert
[seqwish::transclosure] 7578.501 4.44% 150000000-200000000 graph_emission
[seqwish::transclosure] 7676.853 6.10% 200000000-250000000 overlap_collect
[seqwish::transclosure] 7719.683 6.10% 200000000-250000000 rank_build
[seqwish::transclosure] 7773.244 6.10% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 7879.756 6.10% 200000000-250000000 dset_write
[seqwish::transclosure] 7893.263 6.10% 200000000-250000000 dset_compression
[seqwish::transclosure] 7903.957 6.10% 200000000-250000000 dset_sort
[seqwish::transclosure] 7908.613 6.10% 200000000-250000000 dset_invert
[seqwish::transclosure] 7916.784 6.10% 200000000-250000000 graph_emission
[seqwish::transclosure] 8085.569 7.75% 250000000-300000000 overlap_collect
[seqwish::transclosure] 8128.724 7.75% 250000000-300000000 rank_build
[seqwish::transclosure] 8185.666 7.75% 250000000-300000000 parallel_union_find
[seqwish::transclosure] 8296.946 7.75% 250000000-300000000 dset_write
[seqwish::transclosure] 8310.281 7.75% 250000000-300000000 dset_compression
[seqwish::transclosure] 8323.094 7.75% 250000000-300000000 dset_sort
[seqwish::transclosure] 8327.727 7.75% 250000000-300000000 dset_invert
[seqwish::transclosure] 8338.725 7.75% 250000000-300000000 graph_emission
