octopus06
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 925.442 index built
[seqwish::alignments] 925.443 processing alignments
[seqwish::alignments] 1704.635 indexing
[seqwish::alignments] 3597.613 index built
[seqwish::transclosure] 3597.615 computing transitive closures
[seqwish::transclosure] 3604.742 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 3628.235 0.00% 0-50000000 rank_build
[seqwish::transclosure] 3673.402 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 3709.403 0.00% 0-50000000 dset_write
[seqwish::transclosure] 3722.171 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 3735.360 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 3740.626 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 3749.375 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 3759.563 1.64% 50000000-100000000 overlap_collect
[seqwish::transclosure] 3782.705 1.64% 50000000-100000000 rank_build
[seqwish::transclosure] 3824.612 1.64% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 3861.527 1.64% 50000000-100000000 dset_write
[seqwish::transclosure] 3874.179 1.64% 50000000-100000000 dset_compression
[seqwish::transclosure] 3884.092 1.64% 50000000-100000000 dset_sort
[seqwish::transclosure] 3888.682 1.64% 50000000-100000000 dset_invert
[seqwish::transclosure] 3896.958 1.64% 50000000-100000000 graph_emission
[seqwish::transclosure] 4083.533 3.27% 100000000-150000000 overlap_collect
[seqwish::transclosure] 4100.526 3.27% 100000000-150000000 rank_build
[seqwish::transclosure] 4135.881 3.27% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 4161.390 3.27% 100000000-150000000 dset_write
[seqwish::transclosure] 4169.107 3.27% 100000000-150000000 dset_compression
[seqwish::transclosure] 4177.280 3.27% 100000000-150000000 dset_sort
[seqwish::transclosure] 4180.797 3.27% 100000000-150000000 dset_invert
[seqwish::transclosure] 4187.239 3.27% 100000000-150000000 graph_emission
[seqwish::transclosure] 4396.227 4.32% 150000000-200000000 overlap_collect
[seqwish::transclosure] 4419.024 4.32% 150000000-200000000 rank_build
[seqwish::transclosure] 4463.704 4.32% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 4501.132 4.32% 150000000-200000000 dset_write
[seqwish::transclosure] 4512.864 4.32% 150000000-200000000 dset_compression
[seqwish::transclosure] 4522.957 4.32% 150000000-200000000 dset_sort
[seqwish::transclosure] 4527.529 4.32% 150000000-200000000 dset_invert
[seqwish::transclosure] 4535.524 4.32% 150000000-200000000 graph_emission
[seqwish::transclosure] 4616.761 5.94% 200000000-250000000 overlap_collect
[seqwish::transclosure] 4640.790 5.94% 200000000-250000000 rank_build
[seqwish::transclosure] 4682.640 5.94% 200000000-250000000 parallel_union_find
