octopus10
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 857.140 index built
[seqwish::alignments] 857.141 processing alignments
[seqwish::alignments] 1642.920 indexing
[seqwish::alignments] 3167.499 index built
[seqwish::transclosure] 3167.501 computing transitive closures
[seqwish::transclosure] 3174.289 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 3196.070 0.00% 0-50000000 rank_build
[seqwish::transclosure] 3237.005 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 3271.718 0.00% 0-50000000 dset_write
[seqwish::transclosure] 3284.439 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 3293.834 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 3298.435 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 3305.719 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 3316.110 1.62% 50000000-100000000 overlap_collect
[seqwish::transclosure] 3338.193 1.62% 50000000-100000000 rank_build
[seqwish::transclosure] 3376.537 1.62% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 3413.316 1.62% 50000000-100000000 dset_write
[seqwish::transclosure] 3424.619 1.62% 50000000-100000000 dset_compression
[seqwish::transclosure] 3433.024 1.62% 50000000-100000000 dset_sort
[seqwish::transclosure] 3437.479 1.62% 50000000-100000000 dset_invert
[seqwish::transclosure] 3444.078 1.62% 50000000-100000000 graph_emission
[seqwish::transclosure] 3624.266 3.23% 100000000-150000000 overlap_collect
[seqwish::transclosure] 3638.432 3.23% 100000000-150000000 rank_build
[seqwish::transclosure] 3673.295 3.23% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 3696.523 3.23% 100000000-150000000 dset_write
[seqwish::transclosure] 3702.843 3.23% 100000000-150000000 dset_compression
[seqwish::transclosure] 3709.035 3.23% 100000000-150000000 dset_sort
[seqwish::transclosure] 3712.051 3.23% 100000000-150000000 dset_invert
[seqwish::transclosure] 3717.010 3.23% 100000000-150000000 graph_emission
[seqwish::transclosure] 3906.497 4.26% 150000000-200000000 overlap_collect
[seqwish::transclosure] 3928.412 4.26% 150000000-200000000 rank_build
[seqwish::transclosure] 3967.878 4.26% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 4004.451 4.26% 150000000-200000000 dset_write
[seqwish::transclosure] 4014.193 4.26% 150000000-200000000 dset_compression
[seqwish::transclosure] 4023.139 4.26% 150000000-200000000 dset_sort
[seqwish::transclosure] 4027.586 4.26% 150000000-200000000 dset_invert
[seqwish::transclosure] 4035.086 4.26% 150000000-200000000 graph_emission
[seqwish::transclosure] 4112.872 5.86% 200000000-250000000 overlap_collect
[seqwish::transclosure] 4135.463 5.86% 200000000-250000000 rank_build
[seqwish::transclosure] 4174.571 5.86% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 4212.641 5.86% 200000000-250000000 dset_write
[seqwish::transclosure] 4223.006 5.86% 200000000-250000000 dset_compression
[seqwish::transclosure] 4231.367 5.86% 200000000-250000000 dset_sort
[seqwish::transclosure] 4235.812 5.86% 200000000-250000000 dset_invert
[seqwish::transclosure] 4242.311 5.86% 200000000-250000000 graph_emission
[seqwish::transclosure] 4414.766 7.45% 250000000-300000000 overlap_collect
[seqwish::transclosure] 4437.418 7.45% 250000000-300000000 rank_build
[seqwish::transclosure] 4478.208 7.45% 250000000-300000000 parallel_union_find
[seqwish::transclosure] 4513.299 7.45% 250000000-300000000 dset_write
[seqwish::transclosure] 4523.058 7.45% 250000000-300000000 dset_compression
[seqwish::transclosure] 4532.082 7.45% 250000000-300000000 dset_sort
[seqwish::transclosure] 4536.542 7.45% 250000000-300000000 dset_invert
[seqwish::transclosure] 4543.779 7.45% 250000000-300000000 graph_emission
[seqwish::transclosure] 4725.461 9.05% 300000000-350125236 overlap_collect
[seqwish::transclosure] 4746.322 9.05% 300000000-350125236 rank_build
[seqwish::transclosure] 4785.812 9.05% 300000000-350125236 parallel_union_find
[seqwish::transclosure] 4821.739 9.05% 300000000-350125236 dset_write
[seqwish::transclosure] 4831.263 9.05% 300000000-350125236 dset_compression
[seqwish::transclosure] 4839.605 9.05% 300000000-350125236 dset_sort
[seqwish::transclosure] 4843.975 9.05% 300000000-350125236 dset_invert
[seqwish::transclosure] 4849.823 9.05% 300000000-350125236 graph_emission
[seqwish::transclosure] 5035.871 10.57% 350125236-400125236 overlap_collect
[seqwish::transclosure] 5058.085 10.57% 350125236-400125236 rank_build
[seqwish::transclosure] 5097.676 10.57% 350125236-400125236 parallel_union_find
[seqwish::transclosure] 5134.653 10.57% 350125236-400125236 dset_write
[seqwish::transclosure] 5144.594 10.57% 350125236-400125236 dset_compression
[seqwish::transclosure] 5153.566 10.57% 350125236-400125236 dset_sort
[seqwish::transclosure] 5158.001 10.57% 350125236-400125236 dset_invert
[seqwish::transclosure] 5165.295 10.57% 350125236-400125236 graph_emission
[seqwish::transclosure] 5320.633 12.18% 400125236-450125236 overlap_collect
[seqwish::transclosure] 5342.559 12.18% 400125236-450125236 rank_build
[seqwish::transclosure] 5382.621 12.18% 400125236-450125236 parallel_union_find
[seqwish::transclosure] 5420.929 12.18% 400125236-450125236 dset_write
[seqwish::transclosure] 5431.115 12.18% 400125236-450125236 dset_compression
[seqwish::transclosure] 5440.213 12.18% 400125236-450125236 dset_sort
[seqwish::transclosure] 5444.701 12.18% 400125236-450125236 dset_invert
[seqwish::transclosure] 5451.905 12.18% 400125236-450125236 graph_emission
[seqwish::transclosure] 5626.915 13.81% 450125236-500125236 overlap_collect
[seqwish::transclosure] 5649.131 13.81% 450125236-500125236 rank_build
[seqwish::transclosure] 5691.024 13.81% 450125236-500125236 parallel_union_find
[seqwish::transclosure] 5726.766 13.81% 450125236-500125236 dset_write
[seqwish::transclosure] 5737.497 13.81% 450125236-500125236 dset_compression
