octopus07
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 877.232 index built
[seqwish::alignments] 877.233 processing alignments
[seqwish::alignments] 1668.523 indexing
[seqwish::alignments] 4150.164 index built
[seqwish::transclosure] 4150.166 computing transitive closures
[seqwish::transclosure] 4158.249 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 4184.302 0.00% 0-50000000 rank_build
[seqwish::transclosure] 4228.845 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 4267.558 0.00% 0-50000000 dset_write
[seqwish::transclosure] 4280.913 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 4291.620 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 4296.321 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 4304.788 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 4315.152 1.66% 50000000-100000000 overlap_collect
[seqwish::transclosure] 4346.771 1.66% 50000000-100000000 rank_build
[seqwish::transclosure] 4395.610 1.66% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 4494.733 1.66% 50000000-100000000 dset_write
[seqwish::transclosure] 4512.432 1.66% 50000000-100000000 dset_compression
[seqwish::transclosure] 4523.610 1.66% 50000000-100000000 dset_sort
[seqwish::transclosure] 4528.244 1.66% 50000000-100000000 dset_invert
[seqwish::transclosure] 4536.703 1.66% 50000000-100000000 graph_emission
[seqwish::transclosure] 4730.095 3.31% 100000000-150000000 overlap_collect
[seqwish::transclosure] 4754.819 3.31% 100000000-150000000 rank_build
[seqwish::transclosure] 4800.809 3.31% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 4863.621 3.31% 100000000-150000000 dset_write
[seqwish::transclosure] 4872.104 3.31% 100000000-150000000 dset_compression
[seqwish::transclosure] 4880.263 3.31% 100000000-150000000 dset_sort
[seqwish::transclosure] 4883.547 3.31% 100000000-150000000 dset_invert
[seqwish::transclosure] 4890.903 3.31% 100000000-150000000 graph_emission
[seqwish::transclosure] 5097.034 4.38% 150000000-200000000 overlap_collect
[seqwish::transclosure] 5131.961 4.38% 150000000-200000000 rank_build
[seqwish::transclosure] 5183.403 4.38% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 5279.595 4.38% 150000000-200000000 dset_write
[seqwish::transclosure] 5292.903 4.38% 150000000-200000000 dset_compression
[seqwish::transclosure] 5304.030 4.38% 150000000-200000000 dset_sort
[seqwish::transclosure] 5308.606 4.38% 150000000-200000000 dset_invert
[seqwish::transclosure] 5318.466 4.38% 150000000-200000000 graph_emission
[seqwish::transclosure] 5413.820 6.03% 200000000-250000000 overlap_collect
[seqwish::transclosure] 5449.669 6.03% 200000000-250000000 rank_build
[seqwish::transclosure] 5497.288 6.03% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 5602.608 6.03% 200000000-250000000 dset_write
[seqwish::transclosure] 5616.722 6.03% 200000000-250000000 dset_compression
[seqwish::transclosure] 5626.751 6.03% 200000000-250000000 dset_sort
[seqwish::transclosure] 5631.367 6.03% 200000000-250000000 dset_invert
[seqwish::transclosure] 5639.244 6.03% 200000000-250000000 graph_emission
[seqwish::transclosure] 5814.705 7.67% 250000000-300000000 overlap_collect
[seqwish::transclosure] 5850.635 7.67% 250000000-300000000 rank_build
[seqwish::transclosure] 5901.431 7.67% 250000000-300000000 parallel_union_find
[seqwish::transclosure] 5986.602 7.67% 250000000-300000000 dset_write
[seqwish::transclosure] 5999.172 7.67% 250000000-300000000 dset_compression
[seqwish::transclosure] 6010.008 7.67% 250000000-300000000 dset_sort
[seqwish::transclosure] 6014.846 7.67% 250000000-300000000 dset_invert
[seqwish::transclosure] 6024.299 7.67% 250000000-300000000 graph_emission
[seqwish::transclosure] 6210.782 9.31% 300000000-350376971 overlap_collect
[seqwish::transclosure] 6243.057 9.31% 300000000-350376971 rank_build
[seqwish::transclosure] 6292.903 9.31% 300000000-350376971 parallel_union_find
[seqwish::transclosure] 6377.687 9.31% 300000000-350376971 dset_write
[seqwish::transclosure] 6389.527 9.31% 300000000-350376971 dset_compression
[seqwish::transclosure] 6400.966 9.31% 300000000-350376971 dset_sort
[seqwish::transclosure] 6405.605 9.31% 300000000-350376971 dset_invert
[seqwish::transclosure] 6413.947 9.31% 300000000-350376971 graph_emission
[seqwish::transclosure] 6602.519 10.87% 350376971-400376972 overlap_collect
[seqwish::transclosure] 6638.784 10.87% 350376971-400376972 rank_build
[seqwish::transclosure] 6692.317 10.87% 350376971-400376972 parallel_union_find
[seqwish::transclosure] 6781.682 10.87% 350376971-400376972 dset_write
[seqwish::transclosure] 6794.966 10.87% 350376971-400376972 dset_compression
[seqwish::transclosure] 6807.090 10.87% 350376971-400376972 dset_sort
[seqwish::transclosure] 6811.750 10.87% 350376971-400376972 dset_invert
[seqwish::transclosure] 6822.693 10.87% 350376971-400376972 graph_emission
[seqwish::transclosure] 6994.025 12.52% 400376972-450376972 overlap_collect
[seqwish::transclosure] 7026.793 12.52% 400376972-450376972 rank_build
[seqwish::transclosure] 7103.279 12.52% 400376972-450376972 parallel_union_find
[seqwish::transclosure] 7207.214 12.52% 400376972-450376972 dset_write
[seqwish::transclosure] 7220.198 12.52% 400376972-450376972 dset_compression
[seqwish::transclosure] 7232.473 12.52% 400376972-450376972 dset_sort
[seqwish::transclosure] 7237.125 12.52% 400376972-450376972 dset_invert
[seqwish::transclosure] 7247.375 12.52% 400376972-450376972 graph_emission
[seqwish::transclosure] 7413.801 14.17% 450376972-500376972 overlap_collect
[seqwish::transclosure] 7450.405 14.17% 450376972-500376972 rank_build
[seqwish::transclosure] 7502.893 14.17% 450376972-500376972 parallel_union_find
[seqwish::transclosure] 7599.671 14.17% 450376972-500376972 dset_write
[seqwish::transclosure] 7612.940 14.17% 450376972-500376972 dset_compression
[seqwish::transclosure] 7625.472 14.17% 450376972-500376972 dset_sort
[seqwish::transclosure] 7630.086 14.17% 450376972-500376972 dset_invert
[seqwish::transclosure] 7641.319 14.17% 450376972-500376972 graph_emission
[seqwish::transclosure] 7819.417 15.81% 500376972-550376972 overlap_collect
[seqwish::transclosure] 7855.069 15.81% 500376972-550376972 rank_build
[seqwish::transclosure] 7911.979 15.81% 500376972-550376972 parallel_union_find
[seqwish::transclosure] 8013.647 15.81% 500376972-550376972 dset_write
[seqwish::transclosure] 8026.585 15.81% 500376972-550376972 dset_compression
[seqwish::transclosure] 8039.977 15.81% 500376972-550376972 dset_sort
[seqwish::transclosure] 8044.878 15.81% 500376972-550376972 dset_invert
[seqwish::transclosure] 8056.710 15.81% 500376972-550376972 graph_emission
[seqwish::transclosure] 8221.982 17.45% 550376972-600376972 overlap_collect
[seqwish::transclosure] 8257.106 17.45% 550376972-600376972 rank_build
[seqwish::transclosure] 8307.063 17.45% 550376972-600376972 parallel_union_find
[seqwish::transclosure] 8393.413 17.45% 550376972-600376972 dset_write
[seqwish::transclosure] 8405.725 17.45% 550376972-600376972 dset_compression
[seqwish::transclosure] 8417.071 17.45% 550376972-600376972 dset_sort
[seqwish::transclosure] 8421.970 17.45% 550376972-600376972 dset_invert
[seqwish::transclosure] 8431.738 17.45% 550376972-600376972 graph_emission
[seqwish::transclosure] 8610.716 19.06% 600376972-650376972 overlap_collect
[seqwish::transclosure] 8646.042 19.06% 600376972-650376972 rank_build
[seqwish::transclosure] 8699.814 19.06% 600376972-650376972 parallel_union_find
[seqwish::transclosure] 8795.916 19.06% 600376972-650376972 dset_write
[seqwish::transclosure] 8809.088 19.06% 600376972-650376972 dset_compression
[seqwish::transclosure] 8819.960 19.06% 600376972-650376972 dset_sort
[seqwish::transclosure] 8824.605 19.06% 600376972-650376972 dset_invert
[seqwish::transclosure] 8832.303 19.06% 600376972-650376972 graph_emission
[seqwish::transclosure] 9021.801 20.71% 650376972-700466330 overlap_collect
[seqwish::transclosure] 9056.968 20.71% 650376972-700466330 rank_build
[seqwish::transclosure] 9108.201 20.71% 650376972-700466330 parallel_union_find
[seqwish::transclosure] 9200.376 20.71% 650376972-700466330 dset_write
[seqwish::transclosure] 9213.040 20.71% 650376972-700466330 dset_compression
[seqwish::transclosure] 9224.102 20.71% 650376972-700466330 dset_sort
[seqwish::transclosure] 9228.661 20.71% 650376972-700466330 dset_invert
