octopus07
[seqwish::seqidx] 0.019 indexing sequences
[seqwish::seqidx] 891.810 index built
[seqwish::alignments] 891.810 processing alignments
[seqwish::alignments] 2090.394 indexing
[seqwish::alignments] 5798.634 index built
[seqwish::transclosure] 5798.636 computing transitive closures
[seqwish::transclosure] 5806.208 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 5838.626 0.00% 0-50000000 rank_build
[seqwish::transclosure] 5880.645 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 5918.275 0.00% 0-50000000 dset_write
[seqwish::transclosure] 5931.212 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 5941.685 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 5946.390 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 5954.411 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 5963.474 1.68% 50000000-100000000 overlap_collect
[seqwish::transclosure] 5988.988 1.68% 50000000-100000000 rank_build
[seqwish::transclosure] 6030.297 1.68% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 6129.355 1.68% 50000000-100000000 dset_write
[seqwish::transclosure] 6141.970 1.68% 50000000-100000000 dset_compression
[seqwish::transclosure] 6152.543 1.68% 50000000-100000000 dset_sort
[seqwish::transclosure] 6157.176 1.68% 50000000-100000000 dset_invert
[seqwish::transclosure] 6165.922 1.68% 50000000-100000000 graph_emission
[seqwish::transclosure] 6365.643 3.34% 100000000-150000000 overlap_collect
[seqwish::transclosure] 6403.522 3.34% 100000000-150000000 rank_build
[seqwish::transclosure] 6440.430 3.34% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 6510.083 3.34% 100000000-150000000 dset_write
[seqwish::transclosure] 6518.119 3.34% 100000000-150000000 dset_compression
[seqwish::transclosure] 6526.490 3.34% 100000000-150000000 dset_sort
[seqwish::transclosure] 6529.803 3.34% 100000000-150000000 dset_invert
[seqwish::transclosure] 6537.246 3.34% 100000000-150000000 graph_emission
[seqwish::transclosure] 6721.198 4.44% 150000000-200000000 overlap_collect
[seqwish::transclosure] 6748.689 4.44% 150000000-200000000 rank_build
[seqwish::transclosure] 6790.702 4.44% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 6914.725 4.44% 150000000-200000000 dset_write
[seqwish::transclosure] 6928.209 4.44% 150000000-200000000 dset_compression
[seqwish::transclosure] 6939.618 4.44% 150000000-200000000 dset_sort
[seqwish::transclosure] 6944.278 4.44% 150000000-200000000 dset_invert
[seqwish::transclosure] 6953.833 4.44% 150000000-200000000 graph_emission
[seqwish::transclosure] 7050.857 6.09% 200000000-250000000 overlap_collect
[seqwish::transclosure] 7081.209 6.09% 200000000-250000000 rank_build
[seqwish::transclosure] 7128.628 6.09% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 7244.230 6.09% 200000000-250000000 dset_write
[seqwish::transclosure] 7257.280 6.09% 200000000-250000000 dset_compression
[seqwish::transclosure] 7268.314 6.09% 200000000-250000000 dset_sort
[seqwish::transclosure] 7272.922 6.09% 200000000-250000000 dset_invert
[seqwish::transclosure] 7281.916 6.09% 200000000-250000000 graph_emission
