octopus06
[seqwish::seqidx] 0.017 indexing sequences
[seqwish::seqidx] 941.689 index built
[seqwish::alignments] 941.689 processing alignments
[seqwish::alignments] 1819.841 indexing
[seqwish::alignments] 4992.301 index built
[seqwish::transclosure] 4992.304 computing transitive closures
[seqwish::transclosure] 4999.362 0.00% 0-50000000 overlap_collect
[seqwish::transclosure] 5029.033 0.00% 0-50000000 rank_build
[seqwish::transclosure] 5079.786 0.00% 0-50000000 parallel_union_find
[seqwish::transclosure] 5117.705 0.00% 0-50000000 dset_write
[seqwish::transclosure] 5131.607 0.00% 0-50000000 dset_compression
[seqwish::transclosure] 5143.200 0.00% 0-50000000 dset_sort
[seqwish::transclosure] 5147.938 0.00% 0-50000000 dset_invert
[seqwish::transclosure] 5157.112 0.00% 0-50000000 graph_emission
[seqwish::transclosure] 5167.465 1.68% 50000000-100000000 overlap_collect
[seqwish::transclosure] 5201.258 1.68% 50000000-100000000 rank_build
[seqwish::transclosure] 5253.688 1.68% 50000000-100000000 parallel_union_find
[seqwish::transclosure] 5369.014 1.68% 50000000-100000000 dset_write
[seqwish::transclosure] 5385.381 1.68% 50000000-100000000 dset_compression
[seqwish::transclosure] 5397.531 1.68% 50000000-100000000 dset_sort
[seqwish::transclosure] 5402.263 1.68% 50000000-100000000 dset_invert
[seqwish::transclosure] 5412.538 1.68% 50000000-100000000 graph_emission
[seqwish::transclosure] 5595.379 3.33% 100000000-150000000 overlap_collect
[seqwish::transclosure] 5626.739 3.33% 100000000-150000000 rank_build
[seqwish::transclosure] 5678.259 3.33% 100000000-150000000 parallel_union_find
[seqwish::transclosure] 5747.232 3.33% 100000000-150000000 dset_write
[seqwish::transclosure] 5755.661 3.33% 100000000-150000000 dset_compression
[seqwish::transclosure] 5762.423 3.33% 100000000-150000000 dset_sort
[seqwish::transclosure] 5765.831 3.33% 100000000-150000000 dset_invert
[seqwish::transclosure] 5771.490 3.33% 100000000-150000000 graph_emission
[seqwish::transclosure] 5973.213 4.43% 150000000-200000000 overlap_collect
[seqwish::transclosure] 6009.976 4.43% 150000000-200000000 rank_build
[seqwish::transclosure] 6062.392 4.43% 150000000-200000000 parallel_union_find
[seqwish::transclosure] 6169.248 4.43% 150000000-200000000 dset_write
[seqwish::transclosure] 6184.433 4.43% 150000000-200000000 dset_compression
[seqwish::transclosure] 6201.142 4.43% 150000000-200000000 dset_sort
[seqwish::transclosure] 6206.071 4.43% 150000000-200000000 dset_invert
[seqwish::transclosure] 6222.057 4.43% 150000000-200000000 graph_emission
[seqwish::transclosure] 6308.050 6.08% 200000000-250000000 overlap_collect
[seqwish::transclosure] 6349.165 6.08% 200000000-250000000 rank_build
[seqwish::transclosure] 6400.878 6.08% 200000000-250000000 parallel_union_find
[seqwish::transclosure] 6511.519 6.08% 200000000-250000000 dset_write
[seqwish::transclosure] 6524.744 6.08% 200000000-250000000 dset_compression
[seqwish::transclosure] 6534.904 6.08% 200000000-250000000 dset_sort
[seqwish::transclosure] 6539.611 6.08% 200000000-250000000 dset_invert
[seqwish::transclosure] 6547.795 6.08% 200000000-250000000 graph_emission
[seqwish::transclosure] 6718.204 7.73% 250000000-300000000 overlap_collect
[seqwish::transclosure] 6759.485 7.73% 250000000-300000000 rank_build
[seqwish::transclosure] 6816.067 7.73% 250000000-300000000 parallel_union_find
[seqwish::transclosure] 6920.660 7.73% 250000000-300000000 dset_write
[seqwish::transclosure] 6933.426 7.73% 250000000-300000000 dset_compression
[seqwish::transclosure] 6943.292 7.73% 250000000-300000000 dset_sort
[seqwish::transclosure] 6948.028 7.73% 250000000-300000000 dset_invert
[seqwish::transclosure] 6955.701 7.73% 250000000-300000000 graph_emission
[seqwish::transclosure] 7133.107 9.38% 300000000-350646855 overlap_collect
[seqwish::transclosure] 7168.617 9.38% 300000000-350646855 rank_build
[seqwish::transclosure] 7221.147 9.38% 300000000-350646855 parallel_union_find
[seqwish::transclosure] 7330.565 9.38% 300000000-350646855 dset_write
[seqwish::transclosure] 7342.833 9.38% 300000000-350646855 dset_compression
[seqwish::transclosure] 7352.231 9.38% 300000000-350646855 dset_sort
[seqwish::transclosure] 7356.865 9.38% 300000000-350646855 dset_invert
[seqwish::transclosure] 7363.406 9.38% 300000000-350646855 graph_emission
[seqwish::transclosure] 7537.964 10.96% 350646855-400646855 overlap_collect
[seqwish::transclosure] 7576.940 10.96% 350646855-400646855 rank_build
[seqwish::transclosure] 7628.052 10.96% 350646855-400646855 parallel_union_find
[seqwish::transclosure] 7733.840 10.96% 350646855-400646855 dset_write
[seqwish::transclosure] 7747.719 10.96% 350646855-400646855 dset_compression
[seqwish::transclosure] 7770.624 10.96% 350646855-400646855 dset_sort
[seqwish::transclosure] 7775.278 10.96% 350646855-400646855 dset_invert
[seqwish::transclosure] 7797.294 10.96% 350646855-400646855 graph_emission
[seqwish::transclosure] 7968.677 12.62% 400646855-450646855 overlap_collect
[seqwish::transclosure] 8004.148 12.62% 400646855-450646855 rank_build
[seqwish::transclosure] 8057.914 12.62% 400646855-450646855 parallel_union_find
[seqwish::transclosure] 8181.287 12.62% 400646855-450646855 dset_write
[seqwish::transclosure] 8193.962 12.62% 400646855-450646855 dset_compression
[seqwish::transclosure] 8203.974 12.62% 400646855-450646855 dset_sort
[seqwish::transclosure] 8208.638 12.62% 400646855-450646855 dset_invert
[seqwish::transclosure] 8216.684 12.62% 400646855-450646855 graph_emission
[seqwish::transclosure] 8392.118 14.27% 450646855-500646855 overlap_collect
[seqwish::transclosure] 8433.272 14.27% 450646855-500646855 rank_build
[seqwish::transclosure] 8490.648 14.27% 450646855-500646855 parallel_union_find
[seqwish::transclosure] 8616.687 14.27% 450646855-500646855 dset_write
[seqwish::transclosure] 8629.973 14.27% 450646855-500646855 dset_compression
